giris_tarih,hisse,grup,kat,pos52,giris,poz_tl,cikis_tarih,cikis,sebep,getiri_%,tl_kar,max_gordugu_%,dakika
2026-02-04,DERHL,dip,6.2,0.029,17.43,34807.0,2026-02-04,17.9529,hedef,2.97,1033.0,5.39,
2026-02-04,SKYMD,dip,9.6,0.141,12.45,34807.0,2026-02-06,12.0765,stop,-3.03,-1056.0,0.0,
2026-02-05,ADESE,dip,7.1,0.168,1.06,17398.0,2026-02-05,1.0918,hedef,2.97,516.0,8.49,
2026-02-05,DYOBY,dip,13.9,0.166,14.85,17398.0,2026-02-05,14.4045,stop,-3.03,-528.0,0.27,
2026-02-05,KBORU,kirilim,6.7,1.153,19.3,17398.0,2026-02-05,18.721,stop,-3.03,-528.0,0.0,
2026-02-05,SEKFK,kirilim,7.3,1.005,10.42,17398.0,2026-02-05,10.1074,stop,-3.03,-528.0,0.29,
2026-02-09,BERA,kirilim,6.8,1.241,21.34,51138.0,2026-02-10,21.9802,hedef,2.97,1517.0,3.75,
2026-02-09,MERCN,dip,5.9,0.129,18.1,51138.0,2026-02-10,18.643,hedef,2.97,1517.0,12.04,
2026-02-11,GZNMI,dip,5.2,0.036,51.95,35103.0,2026-02-11,53.5085,hedef,2.97,1042.0,4.52,
2026-02-11,JANTS,dip,6.1,0.126,20.04,35103.0,2026-02-18,20.6412,hedef,2.97,1042.0,3.29,
2026-02-11,PKENT,dip,13.8,0.183,175.3,35103.0,2026-02-11,170.041,stop,-3.03,-1065.0,0.68,
2026-02-12,ODINE,kirilim,5.6,1.001,365.0,70184.0,2026-02-12,375.95,hedef,2.97,2082.0,3.01,
2026-02-13,BIENY,dip,11.1,0.164,27.46,18066.0,2026-02-16,26.6362,stop,-3.03,-548.0,2.62,
2026-02-13,GEREL,kirilim,6.4,0.893,25.26,18066.0,2026-02-13,26.0178,hedef,2.97,536.0,3.4,
2026-02-13,QUAGR,dip,8.9,0.098,3.35,18066.0,2026-02-16,3.4505,hedef,2.97,536.0,3.28,
2026-02-13,YAPRK,dip,17.9,0.127,15.4167,18066.0,2026-02-16,15.8792,hedef,2.97,536.0,3.78,
2026-02-16,AKFIS,kirilim,16.9,0.954,26.72,2067.0,2026-02-16,27.5216,hedef,2.97,61.0,4.57,
2026-02-16,ASUZU,kirilim,5.4,1.133,69.45,2067.0,2026-02-17,71.5335,hedef,2.97,61.0,4.03,
2026-02-16,BIENY,dip,5.6,0.167,27.54,2067.0,2026-02-16,26.7138,stop,-3.03,-63.0,0.07,
2026-02-16,FADE,kirilim,8.2,1.027,17.65,2067.0,2026-02-16,17.1205,stop,-3.03,-63.0,1.98,
2026-02-16,HATEK,dip,8.7,0.121,16.7,2067.0,2026-02-17,17.201,hedef,2.97,61.0,7.72,
2026-02-16,IHLAS,dip,5.5,0.157,2.39,2067.0,2026-02-16,2.4617,hedef,2.97,61.0,5.44,
2026-02-16,KONYA,dip,6.1,0.175,4805.0,2067.0,2026-02-18,4660.85,stop,-3.03,-63.0,0.57,
2026-02-16,QUAGR,dip,6.2,0.12,3.56,2067.0,2026-02-16,3.4532,stop,-3.03,-63.0,0.0,
2026-02-16,YAPRK,dip,11.2,0.132,15.5833,2067.0,2026-02-16,15.1158,stop,-3.03,-63.0,0.0,
2026-02-17,BORLS,dip,7.3,0.015,3.04,22332.0,2026-02-17,2.9488,stop,-3.03,-677.0,0.66,
2026-02-17,HATEK,dip,10.3,0.188,18.06,22332.0,2026-02-17,17.5182,stop,-3.03,-677.0,2.44,
2026-02-17,KAYSE,kirilim,7.8,1.067,5.67,22332.0,2026-02-17,5.8401,hedef,2.97,663.0,5.29,
2026-02-18,AYEN,kirilim,6.8,0.962,32.26,17640.0,2026-02-18,31.2922,stop,-3.03,-535.0,2.67,
2026-02-18,MOGAN,kirilim,15.3,1.016,10.8,17640.0,2026-02-18,11.124,hedef,2.97,523.0,5.28,
2026-02-18,OYYAT,kirilim,6.3,1.028,63.85,17640.0,2026-02-19,61.9345,stop,-3.03,-535.0,1.8,
2026-02-18,TATGD,kirilim,25.3,1.228,17.46,17640.0,2026-02-19,17.9838,hedef,2.97,523.0,9.45,
