tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat
2026-02-16,QUAGR,dipkir,dip,13.3,0.11,3.46,15dk,hedef,3.5638,10:00,2.97,4.62,-6.07,10:00,14:00,3.62,3.25
2026-02-16,SANFM,dipkir,dip,5.3,0.152,7.39,15dk,gun_sonu,7.44,18:00,0.64,1.89,-1.35,15:15,10:00,7.53,7.29
2026-02-16,YAPRK,dipkir,dip,22.6,0.138,15.761889,15dk,stop,15.289,10:15,-3.03,5.06,-4.98,10:45,10:00,16.5595,14.9762
2026-02-17,BORLS,dipkir,dip,5.0,0.016,3.08,15dk,hedef,3.1724,10:00,2.97,5.19,-5.19,10:00,17:15,3.24,2.92
2026-02-17,HATEK,dipkir,dip,50.9,0.14,17.1,15dk,hedef,17.613,10:15,2.97,8.19,-4.74,12:00,10:00,18.5,16.29
2026-02-17,KAYSE,dipkir,kirilim,13.4,1.006,5.56,15dk,hedef,5.7268,10:15,2.97,7.37,-1.44,14:00,17:30,5.97,5.48
2026-02-18,ORGE,dipkir,dip,5.5,0.198,73.8,15dk,hedef,76.014,13:45,2.97,3.59,-3.39,13:45,10:00,76.45,71.3
2026-02-18,OYYAT,dipkir,kirilim,13.0,1.039,64.25,15dk,stop,62.3225,17:00,-3.03,2.72,-3.5,10:00,18:00,66.0,62.0
2026-02-18,TATGD,dipkir,kirilim,21.6,1.113,16.8,15dk,hedef,17.304,10:15,2.97,3.93,-2.38,18:00,10:00,17.46,16.4
2026-02-19,VSNMD,dipkir,dip,7.9,0.059,93.0,15dk,hedef,95.79,11:30,2.97,3.06,-3.49,11:30,17:00,95.85,89.75
2026-02-20,PAMEL,dipkir,dip,10.9,0.192,86.0,15dk,hedef,88.58,10:00,2.97,5.81,-0.93,10:00,15:00,91.0,85.2
2026-02-24,A1CAP,dipkir,kirilim,52.8,1.024,18.99,15dk,stop,18.4203,10:15,-3.03,-0.05,-9.69,10:00,10:30,18.98,17.15
2026-02-24,FENER,dipkir,dip,7.3,0.069,3.22,15dk,gun_sonu,3.13,18:00,-2.83,0.93,-2.8,10:00,18:00,3.25,3.13
2026-02-24,HATEK,dipkir,dip,6.1,0.134,16.98,15dk,hedef,17.4894,10:45,2.97,5.59,-1.65,16:00,13:30,17.93,16.7
2026-02-24,VAKKO,dipkir,kirilim,12.5,1.056,82.25,15dk,stop,79.7825,10:15,-3.03,2.01,-3.95,17:45,12:45,83.9,79.0
2026-02-25,ASUZU,dipkir,kirilim,8.3,1.088,74.3,15dk,stop,72.071,10:15,-3.03,-1.21,-7.81,10:00,11:45,73.4,68.5
2026-02-25,POLTK,dipkir,dip,50.1,0.064,6000.0,15dk,hedef,6180.0,11:15,2.97,6.33,0.0,11:15,11:00,6380.0,6000.0
2026-02-25,TKNSA,dipkir,dip,55.4,0.137,21.84,15dk,stop,21.1848,11:00,-3.03,0.0,-4.3,10:00,15:45,21.84,20.9
2026-02-26,DERHL,dipkir,dip,11.4,0.023,16.46,15dk,hedef,16.9538,10:00,2.97,4.74,-10.63,10:15,18:00,17.24,14.71
2026-02-26,RAYSG,dipkir,dip,5.1,0.154,238.2,15dk,stop,231.054,10:30,-3.03,2.39,-5.0,10:00,12:30,243.9,226.3
2026-02-26,SUMAS,dipkir,dip,7.0,0.13,261.5,1dk,hedef,269.345,12:55,2.97,6.21,3.25,17:55,12:55,277.75,270.0
2026-02-26,YAPRK,dipkir,dip,6.1,0.154,16.27379325,15dk,stop,15.7856,10:15,-3.03,6.51,-10.68,11:45,17:45,17.3333,14.5357
2026-02-27,PATEK,dipkir,dip,5.8,0.176,18.6,15dk,hedef,19.158,10:00,2.97,5.91,0.05,12:45,10:00,19.7,18.61
2026-03-02,ALCAR,dipkir,dip,9.0,-0.099,750.0,15dk,hedef,772.5,10:00,2.97,6.6,0.0,10:00,10:00,799.5,750.0
2026-03-02,ANGEN,dipkir,dip,13.4,0.042,9.8,15dk,hedef,10.094,10:00,2.97,5.82,0.0,16:15,10:00,10.37,9.8
2026-03-02,AVHOL,dipkir,dip,14.7,0.129,33.8,15dk,hedef,34.814,10:00,2.97,6.09,0.0,16:15,10:00,35.86,33.8
2026-03-02,BEGYO,dipkir,dip,9.1,-0.026,3.96,15dk,hedef,4.0788,10:00,2.97,5.81,0.51,10:00,10:00,4.19,3.98
2026-03-02,BIENY,dipkir,dip,11.6,-0.065,20.82,15dk,hedef,21.4446,10:00,2.97,6.92,0.0,10:00,10:00,22.26,20.82
2026-03-02,BIOEN,dipkir,dip,6.8,0.018,14.67,15dk,hedef,15.1101,10:00,2.97,7.29,0.0,10:00,10:00,15.74,14.67
