tarih,hisse,rapor_giris,tv_kaynak,yf_kaynak,tv_open,tv_high,tv_low,tv_close,tv_prev_close,yf_open,yf_high,yf_low,yf_close,yf_prev_close,yf_1h_open,open_fark_%,giris_tv_fark_%,giris_yf_fark_%,sorun,durum
2026-04-28,KRDMB,78.0,cache_saatlik,yfinance,78.0,85.3,76.6,84.7,77.85,78.0,85.3,76.6,84.7,77.85,78.0,0.0,0.0,0.0,OK,OK
2026-04-29,ARASE,111.1,cache_saatlik,yfinance,111.1,111.9,102.1,104.8,110.0,111.1,111.9,102.1,104.8,110.0,111.1,0.0,0.0,0.0,OK,OK
2026-04-29,BIENY,22.3,cache_saatlik,yfinance,22.3,23.9,22.3,23.18,24.48,22.3,23.9,22.3,23.18,24.48,22.3,0.0,0.0,0.0,OK,OK
2026-04-29,GWIND,29.98,cache_saatlik,yfinance,29.98,31.74,29.9,31.74,28.86,29.98,31.74,29.9,31.74,28.86,29.98,0.0,0.0,0.0,OK,OK
2026-04-29,GZNMI,64.6,cache_saatlik,yfinance,64.6,66.85,64.6,64.6,71.75,64.6,66.85,64.6,64.6,71.75,64.6,0.0,0.0,0.0,OK,OK
2026-04-29,ISDMR,45.0,cache_saatlik,yfinance,45.0,48.28,44.8,48.28,43.9,45.0,48.28,44.8,48.28,43.9,45.0,0.0,0.0,0.0,OK,OK
2026-04-30,A1YEN,3.43934584,cache_saatlik,yfinance,3.4393,3.4797,3.3935,3.4797,3.1643,3.4393,3.4797,3.3935,3.4797,3.1643,3.4393,0.0,0.001,0.001,OK,OK
2026-04-30,MANAS,29.6,cache_saatlik,yfinance,29.6,30.16,28.14,30.16,27.42,29.6,30.16,28.14,30.16,27.42,29.6,0.0,0.0,0.0,OK,OK
2026-05-04,ALGYO,6.55,cache_saatlik,yfinance,6.55,6.95,6.33,6.58,6.33,6.55,6.95,6.33,6.58,6.33,6.55,0.0,0.0,0.0,OK,OK
2026-05-04,DESPC,40.52,cache_saatlik,yfinance,40.52,42.84,40.52,41.82,44.0,40.52,42.84,40.52,41.82,44.0,40.52,0.0,0.0,0.0,OK,OK
2026-05-04,VESBE,7.15,cache_saatlik,yfinance,7.15,7.23,6.92,7.01,7.12,7.15,7.23,6.92,7.01,7.12,7.15,0.0,0.0,0.0,OK,OK
2026-05-05,ACSEL,133.0,cache_saatlik,yfinance,133.0,145.9,132.8,134.5,132.7,133.0,145.9,132.8,134.5,132.7,133.0,0.0,0.0,0.0,OK,OK
2026-05-05,CELHA,14.7,cache_saatlik,yfinance,14.7,15.8,13.33,13.94,14.49,14.7,15.8,13.33,13.94,14.49,14.7,0.0,0.0,0.0,OK,OK
2026-05-05,HURGZ,8.99,cache_saatlik,yfinance,8.99,9.44,8.82,9.03,8.74,8.99,9.44,8.82,9.03,8.74,8.99,0.0,0.0,0.0,OK,OK
2026-05-05,KGYO,11.9,cache_saatlik,yfinance,11.9,12.8,11.88,12.8,11.93,11.9,12.8,11.88,12.8,11.93,11.9,0.0,0.0,0.0,OK,OK
