tarih,hisse,tip,grup,kat,pos52,acilis,gun_yuksek_%,en_yuksek_%,barem,stop,bar_sayisi
2026-06-02,METRO,kontrol,taze_kirilim,0.28,1.004,7.79,4.11,0.77,stop/<1%,True,461
2026-06-04,METRO,kontrol,taze_kirilim,0.25,0.987,8.52,2.7,0.47,stop/<1%,True,466
2026-06-02,MHRGY,kontrol,taze_kirilim,2.94,1.014,5.08,2.56,2.56,+2%,True,459
2026-05-20,MNDRS,kontrol,dip,0.81,0.196,11.76,0.34,0.34,stop/<1%,False,452
2026-05-22,MNDRS,kontrol,dip,1.04,0.106,10.88,4.87,4.87,+4%,False,424
2026-06-01,MNDRS,kontrol,dip,0.51,0.174,11.55,2.42,2.42,+2%,False,426
2026-06-04,MNDRS,kontrol,dip,0.4,0.194,11.74,0.77,0.77,stop/<1%,False,420
2026-06-05,MNDRS,kontrol,dip,0.5,0.195,11.75,0.0,0.0,stop/<1%,True,409
2026-05-15,MOBTL,kontrol,taze_kirilim,1.36,0.991,14.68,1.23,1.23,+1%,True,406
2026-05-22,MOBTL,kontrol,taze_kirilim,1.01,0.882,13.96,8.6,8.6,+5%+,False,445
2026-05-25,MOBTL,kontrol,taze_kirilim,1.99,0.96,14.8,3.04,3.04,+3%,False,419
2026-06-01,MOBTL,kontrol,taze_kirilim,0.22,0.981,15.4,2.66,2.66,+2%,False,440
2026-06-03,MOBTL,kontrol,taze_kirilim,0.26,0.971,15.7,4.33,4.33,+4%,False,455
2026-06-04,MOBTL,kontrol,taze_kirilim,0.23,0.965,16.02,4.99,4.99,+4%,True,443
2026-05-18,NATEN,kontrol,dip,0.36,0.049,7.15,0.56,0.56,stop/<1%,False,477
2026-05-20,NATEN,kontrol,dip,0.2,0.033,7.07,0.57,0.57,stop/<1%,False,479
2026-05-21,NATEN,kontrol,dip,0.39,0.033,7.07,0.28,0.28,stop/<1%,True,457
2026-05-22,NATEN,kontrol,dip,0.59,-0.061,6.37,8.63,8.63,+5%+,False,479
2026-05-25,NATEN,kontrol,dip,0.17,0.103,6.93,0.43,0.43,stop/<1%,False,474
2026-06-01,NATEN,kontrol,dip,0.16,0.153,7.2,1.53,1.53,+1%,False,474
2026-06-02,NATEN,kontrol,dip,0.19,0.146,7.16,0.98,0.98,stop/<1%,False,473
2026-06-03,NATEN,kontrol,dip,0.4,0.149,7.18,0.42,0.42,stop/<1%,False,466
2026-06-04,NATEN,kontrol,dip,0.16,0.135,7.1,0.85,0.85,stop/<1%,False,471
2026-05-14,NTHOL,kontrol,dip,1.09,0.179,40.76,0.0,0.0,stop/<1%,False,377
2026-06-01,NTHOL,kontrol,dip,0.81,0.131,37.62,4.25,4.25,+4%,False,455
2026-05-22,NUHCM,kontrol,dip,1.82,0.097,213.0,9.58,9.58,+5%+,False,427
2026-06-01,NUHCM,kontrol,dip,1.17,0.174,225.0,0.27,0.27,stop/<1%,True,368
2026-05-18,ODINE,kontrol,taze_kirilim,0.46,0.945,1244.0,7.32,7.32,+5%+,True,479
2026-06-02,ODINE,kontrol,taze_kirilim,0.23,0.951,1273.0,8.8,8.8,+5%+,False,483
2026-06-03,ODINE,kontrol,taze_kirilim,0.32,0.995,1378.0,4.5,4.5,+4%,False,483
2026-05-20,ONCSM,kontrol,taze_kirilim,0.52,0.938,357.5,6.71,0.0,stop/<1%,True,477
2026-05-21,ONCSM,kontrol,taze_kirilim,1.49,0.995,380.0,2.57,2.57,+2%,True,440
2026-06-03,ONRYT,kontrol,taze_kirilim,1.08,1.011,95.0,3.05,3.05,+3%,False,484
2026-05-12,ORCAY,kontrol,taze_kirilim,2.26,0.9,4.58,10.48,10.48,+5%+,False,430
2026-05-13,ORCAY,kontrol,taze_kirilim,1.03,0.951,4.94,7.09,7.09,+5%+,True,433
2026-05-21,ORGE,kontrol,taze_kirilim,2.9,0.995,104.2,7.49,7.49,+5%+,True,462
2026-05-25,ORGE,kontrol,taze_kirilim,1.34,0.896,107.0,4.95,4.95,+4%,True,482
2026-06-02,ORGE,kontrol,taze_kirilim,0.17,0.954,110.1,8.27,8.27,+5%+,False,484
2026-05-13,OSTIM,kontrol,dip,1.18,0.199,3.0,0.67,0.67,stop/<1%,True,380
2026-05-15,OSTIM,kontrol,dip,2.17,0.133,2.87,0.0,0.0,stop/<1%,True,398
2026-06-01,OSTIM,kontrol,dip,0.94,0.097,2.71,4.43,4.43,+4%,False,386
2026-05-18,OTTO,kontrol,dip,0.63,0.072,299.75,0.0,0.0,stop/<1%,True,402
2026-05-25,OTTO,kontrol,dip,1.28,0.045,239.8,1.54,1.54,+1%,True,468
2026-06-01,OTTO,kontrol,dip,0.4,0.019,230.3,5.6,5.6,+5%+,True,483
2026-06-02,OTTO,kontrol,dip,0.66,0.006,225.0,0.84,0.84,stop/<1%,True,478
2026-06-03,OTTO,kontrol,dip,0.75,0.005,217.2,4.37,4.37,+4%,True,471
2026-06-04,OTTO,kontrol,dip,0.56,0.012,213.0,2.02,2.02,+2%,False,472
2026-06-01,PCILT,kontrol,taze_kirilim,0.94,0.988,36.7,2.07,1.04,+1%,True,464
2026-06-02,PCILT,kontrol,taze_kirilim,0.4,0.943,36.0,5.56,5.56,+5%+,False,437
2026-06-03,PCILT,kontrol,taze_kirilim,0.15,0.995,37.88,6.07,6.07,+5%+,True,471
2026-05-15,PKENT,kontrol,dip,1.86,0.066,152.2,0.07,0.07,stop/<1%,False,370
2026-06-01,PKENT,kontrol,dip,0.82,0.079,154.6,1.55,1.55,+1%,False,421
2026-05-22,PLTUR,kontrol,dip,1.15,0.124,21.16,8.6,8.6,+5%+,False,465
2026-05-22,PRKME,kontrol,dip,1.66,0.042,16.0,8.19,8.19,+5%+,False,428
2026-04-20,PRZMA,kontrol,taze_kirilim,1.67,0.924,17.7,10.0,10.0,+5%+,False,426
2026-06-01,PRZMA,kontrol,taze_kirilim,0.18,0.982,51.85,9.93,0.0,stop/<1%,True,465
2026-06-04,PRZMA,kontrol,taze_kirilim,0.95,1.052,59.4,1.85,0.0,stop/<1%,True,455
2026-05-18,QUAGR,kontrol,dip,0.1,0.115,3.51,9.4,9.4,+5%+,False,484
2026-05-20,QUAGR,kontrol,dip,0.62,0.137,3.72,3.23,1.08,+1%,True,479
2026-05-21,QUAGR,kontrol,dip,0.17,0.136,3.71,2.7,2.7,+2%,True,453
2026-05-22,QUAGR,kontrol,dip,1.13,0.09,3.27,8.87,8.87,+5%+,False,474
2026-05-25,QUAGR,kontrol,dip,0.66,0.119,3.55,8.45,8.45,+5%+,False,396
2026-06-01,QUAGR,kontrol,dip,0.41,0.149,3.83,7.57,7.57,+5%+,False,482
2026-06-02,QUAGR,kontrol,dip,0.14,0.171,4.04,7.18,7.18,+5%+,False,484
2026-06-03,QUAGR,kontrol,dip,2.05,0.195,4.27,9.6,9.6,+5%+,False,484
2026-06-05,QUAGR,kontrol,dip,0.14,0.19,4.22,5.45,5.45,+5%+,False,481
2026-05-15,RAYSG,kontrol,dip,1.4,0.085,197.0,0.46,0.46,stop/<1%,False,396
2026-06-03,RAYSG,kontrol,dip,1.67,0.117,188.9,0.42,0.42,stop/<1%,False,401
2026-06-02,RYSAS,kontrol,taze_kirilim,0.09,0.99,24.08,6.64,6.64,+5%+,False,480
2026-06-05,RYSAS,kontrol,taze_kirilim,0.1,0.992,27.2,2.65,2.65,+2%,False,479
2026-06-02,SANEL,kontrol,taze_kirilim,1.93,0.912,46.5,5.72,5.72,+5%+,False,327
2026-06-05,SANEL,kontrol,taze_kirilim,0.79,0.754,49.08,18.48,18.48,+5%+,False,463
2026-06-01,SANFM,kontrol,taze_kirilim,0.31,0.935,8.9,3.37,3.37,+3%,True,459
2026-06-05,SANFM,kontrol,taze_kirilim,0.7,0.899,9.77,6.96,6.96,+5%+,False,481
2026-06-03,SAYAS,kontrol,taze_kirilim,0.36,0.965,61.0,7.79,7.79,+5%+,False,440
2026-06-03,SMART,kontrol,taze_kirilim,0.34,0.927,40.98,4.93,4.93,+4%,True,467
2026-05-18,SMRVA,kontrol,dip,0.37,0.08,17.6,8.18,8.18,+5%+,False,484
2026-05-20,SMRVA,kontrol,dip,0.21,0.09,18.5,0.54,0.54,stop/<1%,True,474
2026-05-21,SMRVA,kontrol,dip,0.19,0.076,17.21,2.21,2.21,+2%,True,452
2026-05-22,SMRVA,kontrol,dip,0.31,0.055,15.24,7.41,7.41,+5%+,False,482
2026-05-25,SMRVA,kontrol,dip,0.5,0.065,16.15,4.71,4.71,+4%,False,483
2026-06-01,SMRVA,kontrol,dip,0.08,0.066,16.31,3.62,3.62,+3%,False,484
2026-06-02,SMRVA,kontrol,dip,0.08,0.07,16.66,4.14,4.14,+4%,False,483
2026-06-03,SMRVA,kontrol,dip,0.19,0.073,16.94,4.6,4.6,+4%,False,484
2026-06-04,SMRVA,kontrol,dip,0.5,0.069,16.53,1.27,1.27,+1%,True,484
2026-06-05,SMRVA,kontrol,dip,0.18,0.064,16.1,0.81,0.81,stop/<1%,True,483
2026-05-21,SNGYO,kontrol,dip,0.24,0.153,3.63,0.55,0.55,stop/<1%,True,413
2026-05-22,SNGYO,kontrol,dip,0.88,0.019,3.34,5.69,5.69,+5%+,False,475
2026-05-25,SNGYO,kontrol,dip,0.5,0.093,3.5,3.71,3.71,+3%,False,401
2026-06-01,SNGYO,kontrol,dip,0.34,0.144,3.61,1.94,1.94,+1%,False,420
2026-06-02,SNGYO,kontrol,dip,0.35,0.14,3.6,2.5,2.5,+2%,False,392
2026-06-03,SNGYO,kontrol,dip,0.3,0.163,3.65,2.47,2.47,+2%,False,405
2026-05-22,SNICA,kontrol,dip,2.22,0.1,3.84,4.95,4.95,+4%,False,471
2026-05-25,SNICA,kontrol,dip,1.7,0.163,3.98,4.77,4.77,+4%,False,423
2026-05-20,SUNTK,kontrol,dip,1.28,0.191,35.94,0.0,0.0,stop/<1%,True,425
2026-06-03,SUNTK,kontrol,dip,1.51,0.129,33.4,0.0,0.0,stop/<1%,True,456
2026-05-14,SUWEN,kontrol,dip,1.39,0.02,8.11,0.99,0.99,stop/<1%,False,444
2026-06-04,SUWEN,kontrol,dip,2.06,0.133,8.2,0.49,0.49,stop/<1%,True,374
2026-06-01,TARKM,kontrol,taze_kirilim,0.63,1.017,585.0,2.91,2.91,+2%,True,472
2026-06-03,TARKM,kontrol,taze_kirilim,0.21,0.975,594.0,4.63,4.63,+4%,True,481
2026-06-03,TBORG,kontrol,dip,1.37,0.142,140.4,0.14,0.14,stop/<1%,False,342
2026-05-21,TCKRC,kontrol,taze_kirilim,1.62,0.987,131.5,1.6,1.6,+1%,True,465
2026-05-22,TCKRC,kontrol,taze_kirilim,0.93,0.94,127.5,10.82,10.82,+5%+,False,440
2026-06-01,TCKRC,kontrol,taze_kirilim,0.19,0.975,160.0,3.19,0.0,stop/<1%,True,474
2026-05-12,TDGYO,kontrol,dip,1.76,0.163,17.0,1.18,1.18,+1%,False,230
2026-05-14,TDGYO,kontrol,dip,1.71,0.134,16.1,1.86,1.86,+1%,False,334
2026-06-01,TDGYO,kontrol,dip,1.99,0.088,14.87,4.17,4.17,+4%,False,342
2026-06-03,TDGYO,kontrol,dip,1.63,0.071,14.36,2.3,2.3,+2%,False,386
2026-05-22,TEKTU,kontrol,dip,1.55,0.163,9.55,12.98,6.6,+5%+,True,420
2026-06-04,TEKTU,kontrol,dip,0.15,0.191,10.81,8.7,1.39,+1%,True,469
2026-05-22,TMSN,kontrol,dip,2.89,-0.033,92.1,7.17,7.17,+5%+,False,474
2026-05-25,TMSN,kontrol,dip,0.5,0.13,98.2,2.04,2.04,+2%,False,449
2026-06-01,TMSN,kontrol,dip,1.1,0.146,98.95,5.0,5.0,+5%+,False,424
2026-06-02,TMSN,kontrol,dip,0.28,0.188,100.9,1.09,1.09,+1%,False,436
2026-06-04,TMSN,kontrol,dip,0.89,0.182,100.6,0.0,0.0,stop/<1%,False,459
2026-05-15,TRHOL,kontrol,taze_kirilim,0.65,0.98,1588.0,3.84,3.84,+3%,False,447
2026-06-05,TRHOL,kontrol,taze_kirilim,0.57,0.931,1541.0,10.19,10.19,+5%+,False,385
2026-05-22,TRILC,kontrol,dip,1.31,0.045,2.35,8.09,8.09,+5%+,False,484
2026-05-25,TRILC,kontrol,dip,0.23,0.11,2.49,1.2,1.2,+1%,True,484
