tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat
2026-06-09,MEGMT,elenen,orta,5.5,0.763,78.5,15dk,hedef,80.855,10:00,2.97,8.28,0.0,10:00,10:00,85.0,78.5
2026-06-09,RAYSG,elenen,orta,22.2,0.239,204.4,15dk,stop,198.268,10:15,-3.03,4.5,-6.56,14:30,13:30,213.6,191.0
2026-06-10,A1CAP,elenen,orta,9.7,0.353,11.12,15dk,stop,10.7864,11:00,-3.03,2.79,-10.07,10:00,18:00,11.43,10.0
2026-06-10,DAGI,elenen,orta,49.7,0.424,6.43,15dk,hedef,6.6229,10:00,2.97,14.62,2.8,12:30,10:00,7.37,6.61
2026-06-10,DERIM,elenen,tepe,48.7,0.873,44.5,1dk,stop,43.165,10:15,-3.03,0.72,-9.84,10:00,12:04,44.82,40.12
2026-06-10,GSDDE,elenen,orta,5.8,0.745,16.01,15dk,stop,15.5297,10:15,-3.03,0.75,-14.05,10:15,18:00,16.13,13.76
2026-06-10,GSDHO,elenen,tepe,12.0,1.085,6.79,15dk,stop,6.5863,10:15,-3.03,1.91,-12.67,10:00,17:45,6.92,5.93
2026-06-10,LYDYE,elenen,orta,11.7,0.365,15020.0,1dk,stop,14569.4,10:15,-3.03,2.36,-3.65,12:54,10:15,15375.0,14472.5
2026-06-11,ANGEN,elenen,orta,5.6,0.475,12.64,15dk,stop,12.2608,10:15,-3.03,2.06,-12.66,10:00,16:30,12.9,11.04
2026-06-11,BRISA,elenen,orta,9.0,0.501,85.15,1dk,hedef,87.7045,10:00,2.97,6.58,0.41,18:08,10:00,90.75,85.5
2026-06-11,BRKSN,elenen,orta,6.4,0.341,8.06,1dk,stop,7.8182,13:54,-3.03,0.37,-3.85,11:51,13:54,8.09,7.75
2026-06-11,DNISI,elenen,orta,54.0,0.517,21.78,15dk,hedef,22.4334,10:00,2.97,4.59,-5.14,13:45,17:15,22.78,20.66
2026-06-11,GOODY,elenen,orta,19.3,0.239,15.11,15dk,hedef,15.5633,10:00,2.97,8.93,0.26,11:30,10:00,16.46,15.15
2026-06-11,KRGYO,elenen,orta,6.3,0.209,2.93,1dk,hedef,3.0179,16:20,2.97,5.46,2.05,17:56,17:20,3.09,2.99
2026-06-11,MERKO,elenen,orta,5.8,0.356,1.98,15dk,hedef,2.0394,10:15,2.97,5.05,-2.02,10:15,18:00,2.08,1.94
2026-06-11,OFSYM,elenen,orta,8.5,0.628,64.8,15dk,hedef,66.744,10:00,2.97,5.71,-12.04,13:30,17:00,68.5,57.0
2026-06-11,RTALB,elenen,orta,6.5,0.578,4.03,15dk,stop,3.9091,10:15,-3.03,0.0,-13.4,10:00,18:00,4.03,3.49
2026-06-12,BRKSN,elenen,orta,6.7,0.335,8.03,1dk,gun_sonu,7.97,18:09,-0.78,0.87,-2.24,15:33,17:48,8.1,7.85
2026-06-12,BRKVY,elenen,orta,10.5,0.534,102.0,1dk,hedef,105.06,11:44,2.97,3.43,-8.82,11:44,17:01,105.5,93.0
2026-06-12,EDATA,elenen,orta,7.9,0.614,17.54,15dk,hedef,18.0662,10:00,2.97,5.82,-4.9,18:00,10:00,18.56,16.68
2026-06-12,FZLGY,elenen,tepe,6.6,0.836,18.2,15dk,hedef,18.746,10:00,2.97,3.08,-3.79,10:00,11:00,18.76,17.51
2026-06-12,ICUGS,elenen,orta,6.5,0.62,4.47,15dk,stop,4.3359,10:15,-3.03,14.77,-5.82,18:00,12:00,5.13,4.21
2026-06-12,LYDYE,elenen,orta,7.5,0.258,13995.0,1dk,stop,13575.15,13:07,-3.03,0.73,-3.54,10:00,13:07,14097.5,13500.0
2026-06-12,OSTIM,elenen,orta,16.3,0.311,2.33333078,15dk,hedef,2.4033,10:00,2.97,5.4,-13.65,10:00,17:15,2.4593,2.0148
2026-06-12,SDTTR,elenen,orta,5.1,0.577,245.0,15dk,hedef,252.35,10:00,2.97,5.41,-0.12,12:45,10:00,258.25,244.7
2026-06-12,VKGYO,elenen,orta,8.4,0.628,2.71,1dk,gun_sonu,2.73,18:09,0.71,1.48,-0.37,12:58,17:19,2.75,2.7
2026-06-12,ZRGYO,elenen,orta,5.2,0.245,17.5,1dk,stop,16.975,16:41,-3.03,-1.94,-5.71,16:33,17:01,17.16,16.5
2026-06-15,ALBRK,elenen,orta,6.4,0.643,9.1,1dk,gun_sonu,8.83,18:08,-3.0,-2.2,-2.97,17:53,18:08,8.9,8.83
