tarih,kat,ilk_ret,getiri_net,sonuc,hisse
2026-04-15,45.08081761612114,0.010821133036282626,-0.02967002518891703,kapanis,BFREN
2026-04-02,14.38587471611738,0.028997514498757315,-0.037000000000000026,stop,BIENY
2026-04-02,12.618420944995256,0.004891062694530879,0.043000000000000045,hedef,BIGTK
2026-05-12,21.995221951523433,-0.00877192982456143,0.023088495575221198,kapanis,BIGTK
2026-03-31,8.753315989798926,-0.02261904761904765,-0.027706455542021773,kapanis,BINBN
2026-04-20,16.375082976411445,0.07291049199762889,0.017861878453038778,kapanis,BINBN
2026-05-11,48.791884327700586,-0.0017142857142857792,-0.037000000000000026,stop,BIZIM
2026-04-20,9.361188893668976,0.0181818181818183,0.043000000000000045,hedef,BJKAS
2026-06-03,11.028880382434972,-0.005464480874316946,-0.037000000000000026,stop,BJKAS
2026-04-01,20.337806960461485,0.013025210084033567,-0.008244296972210734,kapanis,BLCYT
2026-04-22,10.972544649929764,0.04042553191489362,-0.037000000000000026,stop,BMSCH
2026-04-03,27.346659816909288,-0.006153846153846176,-0.037000000000000026,stop,BORLS
2026-04-02,15.879164953216465,0.019494204425711148,-0.037000000000000026,stop,BRKVY
2024-03-13,9.623452369206273,-0.01591895864085313,-0.031999998195038286,kapanis,BRMEN
2026-04-15,11.631710627802741,0.06015037593984962,-0.037000000000000026,stop,BURCE
2026-04-30,19.336624551197563,0.06351550960118191,-0.037000000000000026,stop,BYDNR
2026-06-03,11.654840819047863,-0.00235183443085607,0.043000000000000045,hedef,BYDNR
2022-05-30,20.322770484382072,0.0,-0.007,kapanis,CASA
2022-06-27,31.397130962797974,-0.017094017094017144,-0.007,kapanis,CASA
2022-08-05,8.987556561085972,0.0,-0.007,kapanis,CASA
2023-09-26,26.20813281309289,-0.08949416342412453,0.043000000000000045,hedef,CASA
2025-03-27,9.347116560756586,0.0,-0.007,kapanis,CASA
2026-04-30,12.21660982038948,-0.010483870967741948,-0.037000000000000026,stop,CELHA
2026-05-15,21.152560368217294,0.03931750741839757,0.043000000000000045,hedef,CEOEM
2026-06-03,14.267238843859436,0.011202068074105842,-0.037000000000000026,stop,CGCAM
2026-03-30,8.989016155226942,0.09090909090909083,-0.00606367041198485,kapanis,COSMO
2026-04-07,11.41647901187956,0.00273972602739736,-0.007,kapanis,CRFSA
2026-04-08,10.53097628746046,-0.00994035785288272,0.043000000000000045,hedef,CRFSA
2026-06-04,22.904738160330588,-0.02918693537178596,-0.037000000000000026,stop,CUSAN
2026-04-28,8.126437963028668,0.022413793103448265,-0.037000000000000026,stop,DAPGM
2026-06-02,10.79569184906977,0.0006485084306095956,-0.037000000000000026,stop,DERHL
2026-05-08,19.867980748333064,-0.009161381254404466,-0.024069701280227555,kapanis,DESA
2026-05-08,26.874709037546808,0.045519203413940224,-0.037000000000000026,stop,DEVA
2026-04-15,24.729261662574533,0.05031446540880502,-0.037000000000000026,stop,DGGYO
2026-04-07,22.655881446889403,-0.02088167053364265,-0.036999999999999915,stop,DGNMO
2026-04-10,10.906682350935712,0.0,-0.007,kapanis,DGNMO
