hedef_%,hisse,giris_tarih,cikis_tarih,grup,kat,giris,kayitli_sebep,kayitli_cikis,kayitli_getiri_%,kayitli_tl_kar,beklenen_sebep,beklenen_cikis,beklenen_cikis_tarih,gun_kapanis_%,max_gordugu_%,ilk_bar_saat,1dk_gun_low,1dk_gun_high,flags,durum
1,UFUK,2026-06-04,2026-06-04,orta,27.9,1387.0,stop,1345.39,-3.63,-595.0,stop,1345.39,2026-06-04,-3.4,0.0,10:00,1236.0,1387.0,-,OK
1,AVGYO,2026-06-05,2026-06-05,orta,83.5,14.0,hedef,14.14,0.37,74.0,hedef,14.14,2026-06-05,-4.9,1.57,09:55,13.01,14.22,-,OK
1,BARMA,2026-06-05,2026-06-05,tepe,34.9,59.1,hedef,59.691,0.37,74.0,hedef,59.691,2026-06-05,2.6,1.1,09:55,58.9,61.55,-,OK
1,CMBTN,2026-06-05,2026-06-05,dip,19.5,1595.0,hedef,1610.95,0.37,74.0,hedef,1610.95,2026-06-05,0.1,1.19,09:55,1589.0,1637.0,-,OK
1,ULUFA,2026-06-05,2026-06-05,orta,8.6,4.0,hedef,4.04,0.37,74.0,hedef,4.04,2026-06-05,-2.5,2.75,09:55,3.89,4.2,-,OK
1,POLTK,2026-06-08,2026-06-08,dip,9.1,5270.0,stop,5111.9,-3.63,-1464.0,stop,5111.9,2026-06-08,-4.6,0.05,09:55,4980.0,5272.5,-,OK
1,SEKUR,2026-06-08,2026-06-08,kirilim,14.9,8.06,stop,7.8182,-3.63,-1464.0,stop,7.8182,2026-06-08,9.3,0.5,09:55,7.81,8.81,stop_ama_gun_kapanis_+9.3%|tek_bar_wick,SUPHELI_WICK
2,PRZMA,2026-04-24,2026-04-24,tepe,9.0,25.84,stop,25.0648,-3.63,-3633.0,stop,25.0648,2026-04-24,0.0,0.0,09:55,25.02,25.84,tek_bar_wick,SUPHELI_WICK
2,EUKYO,2026-05-04,2026-05-04,orta,43.7,6.99,hedef,7.1298,1.37,659.0,hedef,7.1298,2026-05-04,3.6,5.72,09:55,6.99,7.5,-,OK
2,KUVVA,2026-05-04,2026-05-04,orta,9.0,125.0,stop,121.25,-3.63,-1751.0,stop,121.25,2026-05-04,3.2,0.0,09:55,120.3,129.6,-,OK
2,MTRYO,2026-05-05,2026-05-05,orta,12.5,10.74,stop,10.4178,-3.63,-3461.0,stop,10.4178,2026-05-05,2.0,0.0,09:55,10.06,10.95,-,OK
2,IHYAY,2026-05-06,2026-05-06,dip,9.0,1.83,hedef,1.8666,1.37,1255.0,hedef,1.8666,2026-05-06,1.6,2.19,09:55,1.83,1.87,-,OK
2,UFUK,2026-05-07,2026-05-08,orta,121.9,1482.0,stop,1437.54,-3.63,-3381.0,stop,1437.54,2026-05-08,-2.6,1.21,10:00,1442.0,1500.0,-,OK
2,IDGYO,2026-05-11,2026-05-11,orta,8.9,3.63,stop,3.5211,-3.63,-3258.0,stop,3.5211,2026-05-11,4.7,0.0,09:55,3.45,3.96,-,OK
2,DMSAS,2026-05-12,2026-05-12,orta,10.7,9.08,hedef,9.2616,1.37,591.0,hedef,9.2616,2026-05-12,0.6,2.2,09:55,9.08,9.32,-,OK
2,ERBOS,2026-05-12,2026-05-12,kirilim,17.0,217.9,hedef,222.258,1.37,591.0,hedef,222.258,2026-05-12,-2.4,2.34,09:55,212.7,226.0,-,OK
2,ETYAT,2026-05-13,2026-05-13,orta,10.1,8.0,hedef,8.16,1.37,1198.0,hedef,8.16,2026-05-13,1.4,2.5,09:55,7.92,8.2,-,OK
2,ALCAR,2026-05-14,2026-05-18,dip,32.9,771.5,stop,748.355,-3.63,-3226.0,stop,748.355,2026-05-18,0.7,1.88,10:00,770.5,786.0,-,OK
2,EKSUN,2026-05-20,2026-05-20,kirilim,9.8,7.4,hedef,7.548,1.37,106.0,hedef,7.548,2026-05-20,4.5,2.03,09:55,7.3,7.9,-,OK
2,GUNDG,2026-05-20,2026-05-21,tepe,11.2,998.0,hedef,1017.96,1.37,106.0,hedef,1017.96,2026-05-21,0.0,9.92,09:55,998.0,998.0,-,OK
2,ICBCT,2026-05-20,2026-05-20,tepe,24.6,21.0,stop,20.37,-3.63,-283.0,stop,20.37,2026-05-20,-8.5,0.67,09:55,18.84,21.14,-,OK
2,ISSEN,2026-05-20,2026-05-20,tepe,34.3,11.1,hedef,11.322,1.37,106.0,hedef,11.322,2026-05-20,-10.0,3.06,09:55,9.53,11.44,-,OK
2,KFEIN,2026-05-20,2026-05-20,orta,86.6,10.6,hedef,10.812,1.37,106.0,hedef,10.812,2026-05-20,-9.0,3.77,09:55,9.55,11.15,-,OK
2,LKMNH,2026-05-20,2026-05-20,dip,17.0,15.2,hedef,15.504,1.37,106.0,hedef,15.504,2026-05-20,3.4,3.09,09:55,15.2,15.99,-,OK
2,PCILT,2026-05-20,2026-05-20,tepe,23.5,35.42,stop,34.3574,-3.63,-283.0,stop,34.3574,2026-05-20,-6.8,0.0,09:55,33.0,35.42,-,OK
2,SANFM,2026-05-20,2026-05-20,orta,17.3,8.35,hedef,8.517,1.37,106.0,hedef,8.517,2026-05-20,-2.4,2.87,09:55,8.01,8.59,-,OK
2,SMART,2026-05-20,2026-05-20,orta,8.8,36.76,hedef,37.4952,1.37,106.0,hedef,37.4952,2026-05-20,-2.1,2.18,09:55,35.52,40.1,-,OK
2,UFUK,2026-05-20,2026-05-20,orta,11.3,1446.0,stop,1402.62,-3.63,-283.0,stop,1402.62,2026-05-20,-5.7,0.0,09:55,1324.0,1446.0,-,OK
2,VBTYZ,2026-05-20,2026-05-20,tepe,9.6,27.78,stop,26.9466,-3.63,-283.0,stop,26.9466,2026-05-20,-8.9,1.3,09:55,25.12,29.1,-,OK
2,BAKAB,2026-05-21,2026-05-21,kirilim,9.4,52.2,stop,50.634,-3.63,-702.0,stop,50.634,2026-05-21,-13.1,0.0,09:55,45.36,52.2,-,OK
2,BIGTK,2026-05-21,2026-05-21,dip,56.0,211.5,hedef,215.73,1.37,264.0,hedef,215.73,2026-05-21,0.3,2.08,09:55,209.0,231.2,-,OK
2,GMTAS,2026-05-21,2026-05-21,tepe,18.4,48.42,stop,46.9674,-3.63,-702.0,stop,46.9674,2026-05-21,-7.3,0.0,09:55,44.88,48.42,-,OK
2,VERTU,2026-05-21,2026-05-21,orta,63.7,42.64,stop,41.3608,-3.63,-702.0,stop,41.3608,2026-05-21,-12.6,0.09,09:55,37.26,42.68,-,OK
2,ADGYO,2026-05-22,2026-05-22,orta,9.4,50.0,hedef,51.0,1.37,142.0,hedef,51.0,2026-05-22,15.2,6.7,09:55,50.0,58.5,-,OK
2,AGYO,2026-05-22,2026-05-22,orta,9.1,8.08,hedef,8.2416,1.37,142.0,hedef,8.2416,2026-05-22,8.9,3.96,09:55,8.08,9.05,-,OK
2,CEMZY,2026-05-22,2026-05-22,orta,9.7,12.0,hedef,12.24,1.37,142.0,hedef,12.24,2026-05-22,13.3,7.67,09:55,12.0,13.6,-,OK
2,INVES,2026-05-22,2026-05-22,orta,13.1,590.0,hedef,601.8,1.37,142.0,hedef,601.8,2026-05-22,3.4,2.54,09:55,589.0,612.0,-,OK
2,KOPOL,2026-05-22,2026-05-22,dip,44.1,5.03,hedef,5.1306,1.37,142.0,hedef,5.1306,2026-05-22,15.1,9.54,09:55,5.03,5.82,-,OK
2,LUKSK,2026-05-22,2026-05-22,orta,10.6,90.1,hedef,91.902,1.37,142.0,hedef,91.902,2026-05-22,8.8,8.6,09:55,90.1,98.75,-,OK
2,RYSAS,2026-05-22,2026-05-22,orta,10.2,19.06,hedef,19.4412,1.37,142.0,hedef,19.4412,2026-05-22,4.9,2.52,09:55,18.78,20.16,-,OK
2,VERUS,2026-05-22,2026-05-22,kirilim,10.4,573.0,hedef,584.46,1.37,142.0,hedef,584.46,2026-05-22,2.3,4.71,09:55,571.0,600.0,-,OK
2,GUNDG,2026-05-25,2026-05-25,tepe,19.7,1303.0,stop,1263.91,-3.63,-3070.0,stop,1263.91,2026-05-25,-18.1,0.0,09:55,1067.0,1303.0,-,OK
2,IDGYO,2026-06-01,2026-06-01,orta,8.5,4.23,hedef,4.3146,1.37,557.0,hedef,4.3146,2026-06-01,5.2,2.84,09:55,4.2,4.45,-,OK
2,NUGYO,2026-06-01,2026-06-01,orta,8.1,10.41,stop,10.0977,-3.63,-1479.0,stop,10.0977,2026-06-01,-3.7,1.92,09:55,9.9,10.61,-,OK
2,DERHL,2026-06-02,2026-06-02,dip,8.1,15.42,hedef,15.7284,1.37,550.0,hedef,15.7284,2026-06-02,-9.2,2.66,09:55,13.88,16.0,-,OK
2,PAMEL,2026-06-02,2026-06-02,orta,11.7,93.75,stop,90.9375,-3.63,-1462.0,stop,90.9375,2026-06-02,-2.1,0.75,09:55,89.5,94.45,-,OK
2,AKMGY,2026-06-03,2026-06-03,orta,12.4,294.5,stop,285.665,-3.63,-482.0,stop,285.665,2026-06-03,-7.6,0.17,09:55,272.25,295.0,-,OK
2,BARMA,2026-06-03,2026-06-03,tepe,9.4,60.2,hedef,61.404,1.37,181.0,hedef,61.404,2026-06-03,0.2,2.24,09:55,59.3,61.75,-,OK
2,BLCYT,2026-06-03,2026-06-03,orta,58.4,44.16,stop,42.8352,-3.63,-482.0,stop,42.8352,2026-06-03,-18.1,0.0,09:55,36.16,44.16,-,OK
2,KNFRT,2026-06-03,2026-06-03,orta,8.1,15.04,hedef,15.3408,1.37,181.0,hedef,15.3408,2026-06-03,7.0,3.12,09:55,15.04,16.09,-,OK
2,MEPET,2026-06-03,2026-06-03,orta,12.9,25.88,hedef,26.3976,1.37,181.0,hedef,26.3976,2026-06-03,2.6,2.4,09:55,25.6,27.3,-,OK
2,NUGYO,2026-06-03,2026-06-03,orta,8.7,11.29,stop,10.9513,-3.63,-482.0,stop,10.9513,2026-06-03,-3.3,1.24,09:55,10.61,11.43,-,OK
