tarih,hisse,rapor_giris,tv_kaynak,yf_kaynak,tv_open,tv_high,tv_low,tv_close,tv_prev_close,yf_open,yf_high,yf_low,yf_close,yf_prev_close,yf_1h_open,open_fark_%,giris_tv_fark_%,giris_yf_fark_%,sorun,durum
2026-07-06,SUNTK,29.7,cache_saatlik,yfinance,29.7,29.7,27.66,27.7,28.0,29.7,29.7,27.66,27.7,28.0,29.7,0.0,0.0,0.0,OK,OK
2026-07-06,TKNSA,19.46,cache_saatlik,yfinance,19.46,19.8,19.39,19.41,19.66,19.46,19.8,19.39,19.41,19.66,19.46,0.0,0.0,0.0,OK,OK
2026-07-09,ASUZU,53.9,cache_saatlik,yfinance,53.9,54.5,52.85,53.35,53.85,53.9,54.5,52.85,53.35,53.85,53.9,0.0,0.0,0.0,OK,OK
2026-07-09,EYGYO,2.38,cache_saatlik,yfinance,2.38,2.41,2.35,2.37,2.37,2.38,2.41,2.35,2.37,2.37,2.38,0.0,0.0,0.0,OK,OK
2026-07-09,JANTS,18.0,cache_saatlik,yfinance,18.0,19.15,16.5,16.6,17.6,18.0,19.15,16.5,16.6,17.6,18.0,0.0,0.0,0.0,OK,OK
2026-07-13,CEMTS,9.58,cache_saatlik,yfinance,9.58,9.58,9.24,9.3,9.6,9.58,9.58,9.24,9.3,9.6,9.58,0.0,0.0,0.0,OK,OK
2026-07-13,DAPGM,9.0,cache_saatlik,yfinance,9.0,9.13,8.88,9.01,8.98,9.0,9.13,8.88,9.01,8.98,9.0,0.0,0.0,0.0,OK,OK
2026-07-13,GZNMI,61.15,cache_saatlik,yfinance,61.15,62.95,58.0,60.5,59.55,61.15,62.95,58.0,60.5,59.55,61.15,0.0,0.0,0.0,OK,OK
2026-07-13,ISYAT,7.95,cache_saatlik,yfinance,7.95,7.95,7.86,7.88,7.95,7.95,7.95,7.86,7.88,7.95,7.95,0.0,0.0,0.0,OK,OK
2026-07-13,MAKTK,11.8,cache_saatlik,yfinance,11.8,11.9,11.22,11.7,11.8,11.8,11.9,11.22,11.7,11.8,11.8,0.0,0.0,0.0,OK,OK
2026-07-13,SUNTK,31.66,cache_saatlik,yfinance,31.66,32.6,28.78,31.38,31.96,31.66,32.6,28.78,31.38,31.96,31.66,0.0,0.0,0.0,OK,OK
2026-07-14,EKIZ,65.6,cache_saatlik,yfinance,65.6,68.2,65.6,66.9,69.45,65.6,68.2,65.6,66.9,69.45,65.6,0.0,0.0,0.0,OK,OK
2026-07-14,TRILC,1.51,cache_saatlik,yfinance,1.51,1.51,1.51,1.51,1.38,1.51,1.51,1.51,1.51,1.38,1.51,0.0,0.0,0.0,OK,OK
2026-07-16,BEYAZ,23.68,cache_saatlik,yfinance,23.68,24.42,23.0,24.22,23.8,23.68,24.42,23.0,24.22,23.8,23.68,0.0,0.0,0.0,OK,OK
2026-07-16,PKENT,137.2,cache_saatlik,yfinance,137.2,141.8,137.2,141.1,137.8,137.2,141.8,137.2,141.1,137.8,137.2,0.0,0.0,0.0,OK,OK
2026-07-16,TEKTU,10.7,cache_saatlik,yfinance,10.7,10.92,9.42,9.44,10.23,10.7,10.92,9.42,9.44,10.23,10.7,0.0,0.0,0.0,OK,OK
2026-07-16,VKING,25.96,cache_saatlik,yfinance,25.96,27.48,24.66,24.78,25.7,25.96,27.48,24.66,24.78,25.7,25.96,0.0,0.0,0.0,OK,OK
2026-07-16,VRGYO,1.93,cache_saatlik,yfinance,1.93,2.01,1.93,2.0,1.94,1.93,2.01,1.93,2.0,1.94,1.93,0.0,0.0,0.0,OK,OK
2026-07-20,ALKIM,17.37,cache_saatlik,yfinance,17.37,17.72,17.37,17.49,17.41,17.37,17.72,17.37,17.49,17.41,17.37,0.0,0.0,0.0,OK,OK
2026-07-20,EYGYO,2.74,cache_saatlik,yfinance,2.74,2.77,2.59,2.74,2.66,2.74,2.77,2.59,2.74,2.66,2.74,0.0,0.0,0.0,OK,OK
2026-07-20,YESIL,1.31,cache_saatlik,yfinance,1.31,1.39,1.31,1.32,1.27,1.31,1.39,1.31,1.32,1.27,1.31,0.0,0.0,0.0,OK,OK
2026-07-21,LRSHO,3.24,cache_saatlik,yfinance,3.24,3.34,2.98,2.98,3.17,3.24,3.34,2.98,2.98,3.17,3.24,0.0,0.0,0.0,OK,OK
2026-07-21,SUWEN,7.36,cache_saatlik,yfinance,7.36,7.69,7.2,7.69,7.45,7.36,7.69,7.2,7.69,7.45,7.36,0.0,0.0,0.0,OK,OK
2026-07-21,YESIL,1.31,cache_saatlik,yfinance,1.31,1.33,1.27,1.29,1.32,1.31,1.33,1.27,1.29,1.32,1.31,0.0,0.0,0.0,OK,OK
2026-07-22,BIENY,23.16,cache_saatlik,yfinance,23.16,25.04,22.36,22.9,22.94,23.16,25.04,22.36,22.9,22.94,23.16,0.0,0.0,0.0,OK,OK
2026-07-22,GZNMI,62.95,cache_saatlik,yfinance,62.95,68.65,61.1,66.8,62.45,62.95,68.65,61.1,66.8,62.45,62.95,0.0,0.0,0.0,OK,OK
2026-07-22,PKENT,141.4,cache_saatlik,yfinance,141.4,141.6,136.2,136.5,141.6,141.4,141.6,136.2,136.5,141.6,141.4,0.0,0.0,0.0,OK,OK
2026-07-22,PRKAB,35.4,cache_saatlik,yfinance,35.4,38.26,35.28,36.7,36.06,35.4,38.26,35.28,36.7,36.06,35.4,0.0,0.0,0.0,OK,OK
2026-07-22,QUAGR,3.76,cache_saatlik,yfinance,3.76,4.08,3.62,4.0,3.71,3.76,4.08,3.62,4.0,3.71,3.76,0.0,0.0,0.0,OK,OK
2026-07-23,BEYAZ,27.02,cache_saatlik,yfinance,27.02,27.72,24.52,24.52,26.22,27.02,27.72,24.52,24.52,26.22,27.02,0.0,0.0,0.0,OK,OK
2026-07-23,CASA,77.0,cache_saatlik,yfinance,77.0,77.0,72.5,72.5,73.0,77.0,77.0,72.5,72.5,73.0,77.0,0.0,0.0,0.0,OK,OK
2026-07-23,INGRM,399.5,cache_saatlik,yfinance,399.5,400.75,391.25,392.0,398.0,399.5,400.75,391.25,392.0,398.0,399.5,0.0,0.0,0.0,OK,OK
2026-07-23,USAK,1.55,cache_saatlik,yfinance,1.55,1.55,1.44,1.44,1.52,1.55,1.55,1.44,1.44,1.52,1.55,0.0,0.0,0.0,OK,OK
2026-07-27,ALKA,9.09,cache_saatlik,yfinance,9.09,9.19,8.95,8.97,9.09,9.09,9.19,8.84,8.87,9.09,9.09,0.0,0.0,0.0,OK,OK
2026-07-27,ALKIM,16.71,cache_saatlik,yfinance,16.71,16.96,16.71,16.72,16.86,16.71,16.96,16.41,16.54,16.86,16.71,0.0,0.0,0.0,LOW,UYUMSUZ
2026-07-27,CONSE,2.68,cache_saatlik,yfinance,2.68,2.69,2.55,2.56,2.65,2.68,2.69,2.55,2.56,2.65,2.68,0.0,0.0,0.0,OK,OK
