tarih,hisse,kat,baseline_tl,kum_ciro_tl,tetik_bar,tetik_saat,giris,mfe_gun_kalan_%,mae_gun_kalan_%,kapanis_gun_%,mfe_5g_%,mae_5g_%,mfe_t1,mae_t1,kapanis_t1,mfe_t2,mae_t2,kapanis_t2,mfe_t3,mae_t3,kapanis_t3,mfe_t5,mae_t5,kapanis_t5
2024-07-10,EGSER,4.04,13448950.0,54277635.0,2,2024-07-10 11:00,3.69,2.44,-0.81,2.44,20.05,-0.81,12.47,4.61,12.47,20.05,5.69,7.86,13.28,7.32,7.59,11.38,3.79,9.21
2024-07-11,EGSER,4.38,18106989.0,79363858.0,1,2024-07-11 10:00,4.02,3.23,-3.98,3.23,10.2,-4.73,10.2,-2.99,-1.0,3.98,-1.49,-1.24,-0.25,-3.98,-3.48,0.0,-3.23,-2.74
2024-07-12,EGSER,4.52,24502904.0,110719148.0,1,2024-07-12 10:00,3.9,13.59,0.0,2.05,13.59,-2.31,7.18,1.54,1.79,2.82,-1.03,-0.51,5.38,-1.79,3.33,1.79,-2.31,-1.79
2024-11-25,EGSER,8.05,19770154.0,159197920.0,3,2024-11-25 12:00,3.79,5.28,-0.26,3.17,5.28,-2.37,3.17,0.26,0.53,1.85,-1.85,-1.58,1.06,-2.37,-0.79,-0.26,-2.11,-1.58
2025-07-22,EGSER,4.31,11353781.0,48921675.0,3,2025-07-22 12:00,3.58,1.12,-1.12,-0.28,1.68,-3.07,1.68,-1.4,-0.28,1.4,-1.12,-0.28,0.28,-3.07,-1.96,-0.56,-2.51,-2.23
2025-08-25,EGSER,4.31,27861075.0,120200424.0,3,2025-08-25 12:00,3.94,2.28,-2.79,-2.28,2.28,-10.15,-0.25,-6.35,-5.58,-3.55,-10.15,-9.64,-6.35,-9.39,-6.85,-5.08,-8.63,-5.08
2022-08-16,EKIZ,4.58,515192.0,2362032.0,3,2022-08-16 17:00,9.05,0.0,0.0,0.0,20.99,-8.73,-1.1,-8.73,-6.08,3.31,0.55,3.31,13.59,9.94,13.59,16.57,16.02,16.57
2023-06-06,EKIZ,4.16,411666.0,1712122.0,0,2023-06-06 09:00,16.9,0.36,-0.47,0.36,0.59,-10.77,0.59,0.36,0.36,-1.78,-6.92,-1.78,-2.43,-6.8,-4.44,-8.28,-10.77,-8.28
2023-07-13,EKIZ,7.06,828690.0,5853435.0,1,2023-07-13 12:00,23.56,0.0,-0.34,-0.34,10.36,-6.54,-2.38,-6.54,-6.54,-6.37,-6.37,-6.37,2.12,-1.78,2.12,10.36,10.36,10.36
2023-10-25,EKIZ,4.55,2149194.0,9787171.0,3,2023-10-25 18:00,49.6,0.0,0.0,0.0,12.9,0.0,6.65,2.62,3.83,12.9,11.29,12.1,12.1,11.39,11.39,10.28,10.28,10.28
2024-03-01,EKIZ,4.09,2488649.0,10179153.0,3,2024-03-01 17:00,63.3,0.0,0.0,0.0,21.64,0.0,9.0,6.64,6.64,15.32,14.93,14.93,14.14,13.67,13.67,21.48,16.03,16.03
2025-03-04,EKIZ,4.22,1091325.0,4605282.0,3,2025-03-04 17:00,57.0,0.0,0.0,0.0,14.04,0.0,0.18,0.0,0.18,10.18,1.75,10.09,10.18,10.09,10.18,13.77,13.25,13.25
2025-08-08,EKIZ,4.28,1857139.0,7956322.0,3,2025-08-08 17:00,74.35,0.0,0.0,0.0,9.95,-8.34,9.95,0.07,9.89,-1.08,-1.08,-1.08,7.6,-0.81,-0.81,-3.77,-6.19,-3.83
2025-08-11,EKIZ,4.92,2176372.0,10711211.0,3,2025-08-11 17:00,81.75,0.0,-0.06,-0.06,0.0,-16.64,-10.03,-10.03,-10.03,-2.14,-9.79,-9.79,-9.97,-16.64,-16.64,-10.09,-12.29,-10.09
2025-09-10,EKIZ,4.24,3036059.0,12877893.0,1,2025-09-10 12:00,111.7,0.0,-1.52,0.0,13.97,-5.28,9.94,7.34,9.94,13.97,10.12,10.12,11.01,6.98,11.01,1.16,-5.28,-5.28
2025-09-11,EKIZ,4.61,3797135.0,17488163.0,3,2025-09-11 17:00,122.8,0.0,0.0,0.0,3.66,-15.55,3.66,0.16,0.16,0.98,-2.69,0.98,-5.37,-9.12,-7.49,-13.52,-15.55,-13.52
2025-12-22,EKIZ,4.38,2440743.0,10685120.0,3,2025-12-22 17:00,138.0,0.0,-0.72,-0.72,15.94,-6.96,-0.72,-6.96,-6.96,2.32,-6.3,2.32,12.54,8.41,12.54,10.94,4.06,4.06
2024-07-24,EKOS,4.25,109731555.0,466830083.0,2,2024-07-24 11:00,9.915,2.62,-5.6,-4.49,2.62,-10.74,-0.5,-9.73,-9.68,-4.44,-10.74,-5.45,-0.81,-5.85,-3.68,-5.7,-9.93,-9.23
2024-10-28,EKOS,4.03,52234541.0,210323583.0,1,2024-10-28 10:00,6.77,11.0,-2.14,-2.07,11.0,-10.04,5.02,-1.62,-1.4,0.59,-3.62,-2.88,0.37,-5.32,-3.55,-4.43,-10.04,-7.83
2025-04-09,EKOS,7.14,40803694.0,291341426.0,3,2025-04-09 12:00,5.35,4.49,-3.46,0.0,8.41,-6.26,5.05,-2.52,-2.15,-0.28,-6.26,-2.52,2.15,-3.18,-0.93,8.41,-1.4,8.41
2025-04-18,EKOS,4.32,95193917.0,411109176.0,1,2025-04-18 10:00,6.615,3.55,-9.67,-4.54,3.55,-14.97,-5.14,-11.41,-10.28,-7.48,-13.83,-11.64,-8.39,-12.93,-8.92,-10.73,-14.97,-13.38
2025-05-29,EKOS,4.98,51321353.0,255778606.0,2,2025-05-29 11:00,5.425,9.22,0.0,0.0,9.22,-8.29,-0.74,-7.37,-5.25,2.67,-8.29,-0.37,2.3,-1.94,-0.18,3.04,0.83,1.75
2025-07-24,EKOS,4.29,106683452.0,458070763.0,3,2025-07-24 12:00,5.55,1.62,-1.71,-1.71,1.62,-3.69,-0.54,-3.69,-2.25,-0.45,-2.16,-1.89,-0.99,-2.79,-2.25,-0.9,-2.25,-1.26
2026-02-19,EKOS,4.08,82094375.0,335129796.0,3,2026-02-19 12:00,6.47,2.78,-7.26,-6.49,11.13,-7.26,2.78,-6.34,2.78,11.13,2.16,4.33,5.87,-1.85,0.15,0.15,-4.33,-4.17
2025-05-20,EKSUN,4.06,25449254.0,103240593.0,3,2025-05-20 12:00,5.9,1.36,-6.78,-6.78,1.53,-9.32,0.0,-6.44,-3.56,1.53,-3.39,-3.05,-2.03,-6.78,-6.44,-7.29,-9.32,-8.14
2025-07-07,EKSUN,4.41,29907176.0,131886456.0,2,2025-07-07 11:00,5.84,3.6,-0.86,-0.51,3.6,-3.6,0.34,-3.6,-2.74,-0.17,-2.4,-2.23,-0.34,-2.05,-1.71,-0.17,-1.71,-1.2
2026-01-19,EKSUN,4.46,12504407.0,55734991.0,2,2026-01-19 11:00,5.9,1.36,-0.85,1.36,3.39,-5.25,2.37,-3.39,-2.71,-1.36,-5.25,-4.41,-0.85,-3.73,-1.36,3.39,-3.05,-0.68
2026-04-20,EKSUN,4.34,19807514.0,86044167.0,1,2026-04-20 10:00,6.2,4.03,-4.19,-3.06,4.03,-7.42,-0.65,-4.84,-1.61,-1.29,-5.65,-5.16,-4.68,-7.1,-4.68,-4.19,-7.42,-6.94
2026-02-02,ELITE,4.16,56990527.0,236832655.0,2,2026-02-02 11:00,34.9,2.52,-4.24,-4.24,2.52,-8.31,-0.57,-5.62,-2.98,-1.66,-5.73,-4.87,-1.49,-7.05,-3.95,-4.58,-8.31,-6.02
2024-07-30,EMKEL,4.07,42983137.0,174765201.0,3,2024-07-30 12:00,15.5,1.42,-1.87,0.0,3.23,-15.81,3.23,-4.52,-3.1,-0.13,-3.94,-3.87,-1.94,-8.32,-6.77,-11.16,-14.45,-14.19
2025-05-12,EMKEL,4.65,167088896.0,777728482.0,3,2025-05-12 12:00,30.62,5.55,-2.94,3.79,19.66,-2.94,11.82,5.16,9.67,13.85,7.45,9.34,13.59,8.3,9.54,19.66,13.32,16.39
2025-10-13,EMKEL,4.16,531752862.0,2212425299.0,3,2025-10-13 12:00,62.25,3.13,-5.54,-5.54,3.13,-26.84,-13.25,-14.94,-14.94,-14.3,-23.44,-21.45,-18.96,-25.69,-25.2,-16.31,-22.8,-22.7
2026-03-18,EMKEL,4.23,111379247.0,471083364.0,3,2026-03-18 12:00,18.82,7.76,-3.29,7.76,52.5,-3.29,17.64,7.76,15.94,27.52,15.52,27.52,37.62,23.27,28.06,52.5,36.88,37.19
2022-12-07,EMNIS,6.13,703689.0,4314405.0,0,2022-12-07 09:00,71.65,0.0,-0.21,-0.21,0.0,-24.63,-4.4,-10.19,-10.19,-4.4,-19.12,-6.91,-13.47,-16.19,-13.47,-19.54,-24.63,-24.63
2023-03-29,EMNIS,5.19,326548.0,1695146.0,1,2023-03-29 12:00,42.9,0.0,0.0,0.0,9.51,-13.15,9.51,4.9,7.18,1.35,-3.5,-3.5,-7.41,-13.15,-13.1,-11.24,-12.35,-11.75
2023-03-30,EMNIS,6.6,431766.0,2851026.0,3,2023-03-30 17:00,46.98,0.0,-2.13,-2.13,0.0,-20.69,-7.45,-11.88,-11.88,-15.45,-20.69,-20.65,-19.97,-20.65,-19.97,-19.37,-20.18,-19.37
2023-06-06,EMNIS,4.5,234255.0,1054876.0,2,2023-06-06 13:00,43.0,3.26,0.0,3.26,13.58,0.0,13.58,3.26,13.58,12.33,4.51,4.51,3.86,3.67,3.72,3.3,3.3,3.3
2023-06-07,EMNIS,5.14,298194.0,1532471.0,3,2023-06-07 17:00,48.78,0.12,0.0,0.12,0.12,-8.94,-0.98,-7.87,-7.87,-8.45,-8.61,-8.57,-8.57,-8.94,-8.94,-2.5,-8.82,-5.7
2023-06-19,EMNIS,4.84,472109.0,2286188.0,3,2023-06-19 17:00,50.15,0.0,0.0,0.0,20.94,-10.27,9.97,9.97,9.97,20.94,-1.02,-1.02,-6.28,-10.27,-6.32,-6.28,-9.67,-9.67
2023-06-20,EMNIS,4.21,573340.0,2412151.0,3,2023-06-20 17:00,55.15,0.0,0.0,0.0,9.97,-18.4,9.97,-9.99,-9.99,-14.78,-18.4,-14.81,-16.81,-17.61,-17.61,-17.79,-17.79,-17.79
2023-06-21,EMNIS,5.37,685072.0,3681334.0,0,2023-06-21 09:00,60.65,0.0,-18.15,-18.15,0.0,-25.8,-22.51,-25.8,-22.54,-24.35,-25.08,-25.08,-22.51,-25.31,-25.31,-24.32,-24.32,-24.32
2023-08-22,EMNIS,4.06,649725.0,2637862.0,2,2023-08-22 13:00,55.45,0.0,0.0,0.0,17.49,-11.63,0.0,-8.93,-6.94,-6.67,-11.63,-11.63,-2.8,-9.83,-2.8,17.49,17.49,17.49
2024-03-07,EMNIS,4.14,4324876.0,17919453.0,3,2024-03-07 17:00,217.8,2.98,0.0,2.98,8.68,-11.85,2.98,-2.57,0.32,8.68,1.06,3.26,3.26,1.42,1.42,-8.22,-11.85,-11.34
2024-08-06,EMNIS,6.88,5598371.0,38525310.0,3,2024-08-06 17:00,338.25,0.0,0.0,0.0,9.98,-3.03,9.98,3.47,9.98,5.76,2.59,2.59,7.17,3.33,7.17,2.0,-3.03,-2.88
2025-02-21,EMNIS,4.45,2584684.0,11506190.0,3,2025-02-21 17:00,330.5,0.0,0.0,0.0,0.0,-3.63,-0.45,-2.04,-2.04,-2.04,-3.25,-3.18,-3.18,-3.63,-3.48,-1.97,-3.1,-1.97
2025-06-11,EMNIS,5.49,3056321.0,16793708.0,3,2025-06-11 17:00,252.25,0.0,0.0,0.0,0.0,-21.11,-1.21,-9.97,-8.66,-17.78,-17.78,-17.78,-14.09,-20.71,-14.09,-18.69,-21.11,-19.48
2025-09-25,EMNIS,4.75,1799614.0,8542260.0,3,2025-09-25 17:00,220.0,0.0,-0.91,-0.91,0.0,-10.45,-3.64,-5.09,-4.73,-5.23,-7.55,-7.55,-7.27,-9.09,-9.09,-9.09,-9.09,-9.09
2026-05-08,EMNIS,4.37,2054391.0,8967529.0,2,2026-05-08 13:00,191.0,0.05,0.0,0.05,0.26,-12.04,0.26,-6.91,-6.91,-7.33,-9.42,-9.42,-9.95,-12.04,-10.99,-2.93,-7.85,-7.85
2024-12-05,ENSRI,5.65,25601833.0,144760264.0,1,2024-12-05 10:00,4.3297,9.29,-4.64,-4.4,20.55,-5.83,5.14,-5.83,5.14,15.61,10.18,15.61,20.55,4.05,4.05,1.58,-3.51,-2.67
2024-12-10,ENSRI,5.27,44633941.0,235349773.0,3,2024-12-10 12:00,4.6848,1.46,-3.84,-3.84,1.46,-12.88,-3.84,-11.42,-10.05,-6.12,-10.82,-10.05,-7.76,-11.55,-8.95,-8.13,-12.88,-11.0
2025-07-31,ENSRI,4.36,72808976.0,317269442.0,2,2025-07-31 11:00,8.3386,8.36,-5.08,8.36,32.89,-5.08,16.01,8.77,9.85,20.83,8.0,20.83,32.89,19.7,32.89,21.09,7.64,20.32
2025-12-02,ENSRI,20.09,36727881.0,737858949.0,1,2025-12-02 10:00,14.5893,13.12,-7.4,-1.47,13.12,-8.21,4.33,-4.47,-3.08,3.23,-8.21,0.81,8.58,-2.71,3.23,12.68,1.03,12.68
2024-10-01,ENTRA,4.04,87433187.0,352975546.0,2,2024-10-01 11:00,3.7999,1.96,-4.28,-2.82,1.96,-7.96,-1.84,-6.0,-5.63,-3.79,-6.49,-6.36,-5.39,-7.96,-6.0,-4.16,-6.24,-5.63
2025-06-26,ENTRA,5.11,130755599.0,667606224.0,2,2025-06-26 11:00,5.2046,0.0,-6.61,0.0,11.8,-6.61,9.92,0.18,9.92,11.8,6.61,8.67,9.83,4.56,6.17,8.13,3.75,5.72
2025-06-27,ENTRA,4.02,162008039.0,651966846.0,2,2025-06-27 11:00,5.4604,4.77,-0.85,4.77,6.56,-1.96,6.56,1.62,3.58,4.68,-0.34,1.19,5.03,-1.96,0.51,2.73,-1.96,-0.77
2025-05-13,EPLAS,4.14,14703073.0,60800525.0,2,2025-05-13 11:00,5.6,2.14,-7.86,2.14,8.57,-7.86,6.61,-1.96,6.07,6.25,4.29,5.0,5.89,1.43,1.43,8.57,2.5,3.75
2026-01-20,EPLAS,5.35,18468033.0,98815915.0,1,2026-01-20 10:00,6.29,6.36,-1.91,6.36,23.69,-1.91,16.85,7.95,16.85,23.21,11.29,16.38,23.69,13.35,21.3,17.01,12.72,14.94
2026-01-21,EPLAS,5.5,27831243.0,153080277.0,3,2026-01-21 12:00,7.34,0.14,-6.54,0.14,5.99,-6.54,5.59,-4.63,-0.27,5.99,-2.86,3.95,3.81,-5.31,-1.23,3.41,-3.13,2.04
2026-01-22,EPLAS,4.55,39034781.0,177442918.0,3,2026-01-22 12:00,7.22,1.8,-2.35,1.39,7.76,-3.74,7.76,-1.25,5.68,5.54,-3.74,0.42,1.94,-1.8,0.14,3.46,-1.52,-0.28
2026-04-08,EPLAS,5.7,23280846.0,132658154.0,2,2026-04-08 11:00,6.74,0.0,-8.01,-7.86,0.0,-14.69,-6.08,-11.72,-11.72,-10.39,-12.02,-11.72,-11.72,-14.69,-12.46,-9.94,-12.61,-11.87
2025-02-19,ERBOS,4.21,10190961.0,42873705.0,3,2025-02-19 12:00,180.1,1.11,-3.11,-3.05,1.11,-8.55,-2.5,-4.89,-3.55,-2.78,-6.05,-5.5,-4.28,-7.66,-6.66,-6.89,-8.55,-8.05
2025-07-02,ERBOS,8.61,10017941.0,86304252.0,1,2025-07-02 10:00,168.7,3.08,-6.05,-4.33,3.79,-6.4,-2.19,-6.4,-3.85,3.79,-4.03,-0.59,-1.07,-3.5,-3.26,0.89,-3.2,0.12
2025-11-20,ERBOS,4.19,14288965.0,59927996.0,3,2025-11-20 12:00,202.2,0.74,-3.17,-2.13,0.74,-10.73,-0.59,-8.36,-8.21,-2.97,-8.9,-6.43,-2.62,-8.95,-8.61,-8.21,-10.73,-10.24
2025-11-21,ERCB,8.31,35423125.0,294411635.0,1,2025-11-21 10:00,85.35,20.68,-1.23,2.4,23.02,-9.08,12.6,-2.99,12.6,23.02,1.82,6.85,6.62,-3.81,-3.81,9.31,-5.74,-5.57
