tarih,hisse,kova,grup,kat,pos52,giris,tf,sebep,cikis,cikis_saat,getiri_%,max_%,min_%,max_saat,min_saat,max_fiyat,min_fiyat
2026-07-27,CMBTN,elenen,orta,5.2,0.202,1720.0,1dk,gun_sonu,1734.0,11:12,0.78,2.91,-1.16,10:19,10:00,1770.0,1700.0
2026-07-17,CRFSA,elenen,orta,10.5,0.621,154.0,1dk,hedef,158.62,14:08,2.97,3.7,-2.27,14:08,10:01,159.7,150.5
2026-07-10,DAGI,elenen,orta,23.3,0.714,9.68,1dk,hedef,9.9704,10:40,2.97,6.92,-4.96,11:20,17:46,10.35,9.2
2026-07-20,DAGI,elenen,orta,6.5,0.626,9.35,1dk,hedef,9.6305,15:33,2.97,5.35,-1.6,17:19,10:00,9.85,9.2
2026-07-13,DAPGM,dipkir,dip,7.9,0.043,9.0,1dk,gun_sonu,9.01,18:08,0.08,1.44,-1.33,12:50,10:00,9.13,8.88
2026-07-01,DESA,elenen,orta,18.5,0.323,11.49,15dk,stop,11.1453,10:15,-3.03,1.13,-5.74,10:00,12:15,11.62,10.83
2026-07-17,DESPC,elenen,orta,42.6,0.266,45.5,1dk,stop,44.135,10:43,-3.03,7.96,-3.87,16:21,10:07,49.12,43.74
2026-07-20,DESPC,elenen,orta,5.5,0.345,48.02,1dk,hedef,49.4606,11:24,2.97,9.95,-2.04,18:09,10:22,52.8,47.04
2026-07-21,DESPC,elenen,orta,19.3,0.5,53.0,1dk,hedef,54.59,10:00,2.97,9.53,-0.38,18:09,10:00,58.05,52.8
2026-07-22,DESPC,elenen,orta,18.4,0.485,52.5,1dk,hedef,54.075,10:00,2.97,7.33,-0.48,10:00,18:09,56.35,52.25
2026-07-23,DESPC,elenen,orta,5.6,0.367,48.72,1dk,stop,47.2584,10:23,-3.03,16.58,-3.45,17:41,16:30,56.8,47.04
2026-07-22,DEVA,elenen,tepe,8.2,0.8,76.9,1dk,gun_sonu,75.05,18:08,-2.44,0.59,-2.54,12:09,16:29,77.35,74.95
2026-07-21,DGNMO,elenen,orta,29.2,0.603,7.81,1dk,gun_sonu,7.8,18:05,-0.16,2.94,-0.64,11:24,17:32,8.04,7.76
2026-07-03,DMSAS,elenen,orta,7.3,0.246,8.77,1dk,stop,8.5069,11:12,-3.03,1.71,-4.79,10:00,10:02,8.92,8.35
2026-07-22,DNISI,elenen,orta,43.0,0.335,20.62,1dk,stop,20.0014,12:34,-3.03,0.19,-3.01,12:38,12:34,20.66,20.0
2026-07-22,DOCO,elenen,orta,20.4,0.65,10952.5,1dk,gun_sonu,10992.5,18:05,0.33,0.52,-0.75,16:50,10:41,11010.0,10870.0
2026-07-17,DOGUB,elenen,orta,6.2,0.604,95.9,1dk,hedef,98.777,10:06,2.97,4.17,-6.0,10:12,17:28,99.9,90.15
2026-07-07,DSTKF,elenen,tepe,9.8,0.919,3577.5,15dk,hedef,3684.825,16:00,2.97,9.85,-1.68,16:15,13:00,3930.0,3517.5
2026-07-09,DSTKF,elenen,tepe,71.4,0.962,3822.5,1dk,gun_sonu,3835.0,18:09,0.29,1.64,-2.09,10:28,11:51,3885.0,3742.5
2026-07-03,DUNYH,elenen,orta,15.6,0.551,123.2,15dk,stop,119.504,10:45,-3.03,9.98,-3.65,18:00,10:45,135.5,118.7
2026-07-06,DUNYH,elenen,orta,7.2,0.662,137.0,15dk,stop,132.89,10:30,-3.03,0.22,-5.84,10:00,13:00,137.3,129.0
2026-07-08,DUNYH,elenen,orta,9.1,0.744,149.0,1dk,stop,144.53,14:47,-3.03,-1.28,-5.23,16:54,16:21,147.1,141.2
2026-07-24,DZGYO,elenen,orta,5.3,0.392,7.91,1dk,stop,7.6727,16:09,-3.03,0.63,-3.29,10:57,16:53,7.96,7.65
2026-07-16,ECZYT,elenen,orta,6.0,0.538,310.0,15dk,hedef,319.3,10:00,2.97,9.76,0.65,18:00,10:00,340.25,312.0
2026-07-17,ECZYT,elenen,orta,9.5,0.658,340.25,1dk,gun_sonu,336.0,18:08,-1.28,0.0,-2.79,10:00,16:30,340.25,330.75
2026-07-17,EFOR,elenen,orta,6.4,0.41,16.8,1dk,hedef,17.304,10:00,2.97,7.08,0.0,15:47,10:00,17.99,16.8
2026-07-14,EKIZ,dipkir,dip,10.6,0.123,65.6,1dk,hedef,67.568,13:55,2.97,3.96,1.98,13:55,18:09,68.2,66.9
2026-07-06,EMKEL,dipkir,dip,6.6,0.018,19.86,15dk,hedef,20.4558,10:00,2.97,6.75,-3.63,10:00,17:45,21.2,19.14
2026-07-17,EMNIS,elenen,orta,6.0,0.216,162.2,1dk,stop,157.334,17:55,-3.03,-2.22,-3.64,12:55,18:08,158.6,156.3
2026-07-01,ENERY,elenen,orta,5.2,0.786,10.8,15dk,hedef,11.124,10:00,2.97,9.17,0.0,12:00,10:00,11.79,10.8
2026-07-03,ERBOS,elenen,orta,145.1,0.54,194.7,1dk,stop,188.859,11:21,-3.03,1.23,-9.5,10:00,17:55,197.1,176.2
2026-07-03,ERCB,dipkir,dip,17.4,0.085,51.95,15dk,stop,50.3915,11:00,-3.03,1.83,-4.52,10:00,18:00,52.9,49.6
2026-07-24,ETYAT,elenen,tepe,8.6,0.818,12.76,1dk,hedef,13.1428,11:11,2.97,4.0,0.16,15:48,10:01,13.27,12.78
2026-07-10,EUYO,elenen,orta,11.1,0.443,5.02,1dk,gun_sonu,4.91,18:09,-2.22,0.8,-2.19,11:06,18:09,5.06,4.91
2026-07-14,EUYO,elenen,orta,23.0,0.369,4.88,1dk,hedef,5.0264,18:05,2.97,3.07,-2.66,18:09,11:06,5.03,4.75
2026-07-09,EYGYO,dipkir,dip,5.3,0.033,2.38,1dk,gun_sonu,2.37,18:08,-0.45,1.26,-1.26,16:42,17:27,2.41,2.35
2026-07-20,EYGYO,dipkir,dip,45.9,0.142,2.74,1dk,stop,2.6578,10:15,-3.03,1.09,-5.47,17:52,10:37,2.77,2.59
2026-07-23,FRIGO,elenen,orta,5.0,0.477,2.37,1dk,stop,2.2989,10:15,-3.03,0.0,-6.75,10:00,16:19,2.37,2.21
2026-07-27,FRMPL,elenen,orta,6.3,0.264,35.0,15dk,stop,33.95,10:15,-3.03,0.06,-3.54,10:00,11:00,35.02,33.76
2026-07-17,GARFA,elenen,orta,66.8,0.507,30.1,1dk,hedef,31.003,10:01,2.97,4.58,-2.33,10:23,17:52,31.48,29.4
2026-07-07,GATEG,elenen,orta,8.9,0.444,282.0,1dk,gun_sonu,282.0,18:05,-0.03,0.0,0.0,18:05,18:05,282.0,282.0
2026-07-03,GSDDE,elenen,orta,5.9,0.461,13.31,15dk,stop,12.9107,10:15,-3.03,8.34,-4.21,17:45,10:30,14.42,12.75
2026-07-13,GZNMI,dipkir,dip,11.9,0.068,61.15,1dk,stop,59.3155,15:58,-3.03,2.94,-5.15,14:44,17:56,62.95,58.0
2026-07-22,GZNMI,dipkir,dip,8.6,0.074,62.95,1dk,hedef,64.8385,10:24,2.97,9.05,-2.94,15:45,10:02,68.65,61.1
2026-07-02,HATEK,elenen,orta,10.8,0.308,17.0,1dk,gun_sonu,16.82,18:08,-1.09,0.53,-2.65,16:07,13:51,17.09,16.55
2026-07-02,HDFGS,elenen,orta,43.7,0.278,2.76,15dk,hedef,2.8428,10:00,2.97,5.43,-1.81,18:00,10:15,2.91,2.71
2026-07-03,HDFGS,elenen,orta,9.5,0.299,2.87,15dk,hedef,2.9561,10:00,2.97,10.1,-3.14,10:30,10:00,3.16,2.78
2026-07-03,HKTM,elenen,orta,23.6,0.204,11.55,15dk,hedef,11.8965,10:00,2.97,6.58,-4.42,10:00,18:00,12.31,11.04
2026-07-08,HUBVC,elenen,orta,10.0,0.328,2.86,1dk,hedef,2.9458,10:00,2.97,6.29,0.7,10:56,17:53,3.04,2.88
2026-07-16,HUNER,elenen,orta,7.8,0.348,3.65,1dk,hedef,3.7595,10:05,2.97,7.95,0.0,18:09,10:00,3.94,3.65
2026-07-17,HUNER,elenen,orta,8.0,0.469,3.9,1dk,stop,3.783,10:15,-3.03,3.08,-5.38,12:32,10:34,4.02,3.69
2026-07-02,ICBCT,elenen,orta,7.9,0.703,23.4,15dk,stop,22.698,10:15,-3.03,1.62,-5.56,17:15,14:45,23.78,22.1
2026-07-06,ICUGS,elenen,orta,8.0,0.786,5.99,15dk,hedef,6.1697,14:15,2.97,3.84,-2.5,14:45,10:00,6.22,5.84
2026-07-22,ICUGS,elenen,tepe,11.6,0.868,6.35,1dk,hedef,6.5405,12:33,2.97,3.31,-3.94,12:33,10:00,6.56,6.1
2026-07-02,INGRM,elenen,orta,8.7,0.387,453.0,15dk,stop,439.41,10:30,-3.03,-0.06,-4.08,10:00,14:45,452.75,434.5
2026-07-23,INGRM,dipkir,dip,30.8,0.168,399.5,1dk,gun_sonu,392.0,18:05,-1.91,0.31,-2.07,10:11,16:51,400.75,391.25
2026-07-24,INTEK,elenen,orta,5.1,0.453,368.0,1dk,gun_sonu,371.25,18:08,0.85,1.63,0.14,17:55,12:55,374.0,368.5
2026-07-22,INTEM,elenen,orta,28.8,0.237,264.0,1dk,gun_sonu,258.25,18:05,-2.21,0.38,-2.56,10:17,16:41,265.0,257.25
2026-07-03,INVES,elenen,orta,7.1,0.715,643.5,1dk,gun_sonu,638.5,18:08,-0.81,1.32,-0.78,10:00,18:08,652.0,638.5
2026-07-20,ISKPL,elenen,orta,6.5,0.235,8.8,1dk,hedef,9.064,10:01,2.97,8.64,-4.32,10:07,18:09,9.56,8.42
2026-07-13,ISYAT,dipkir,dip,6.3,0.065,7.95,1dk,gun_sonu,7.88,18:05,-0.91,0.0,-1.13,11:23,16:53,7.95,7.86
2026-07-07,IZENR,elenen,orta,6.5,0.638,10.82,15dk,stop,10.4954,10:15,-3.03,0.18,-10.72,10:00,18:00,10.84,9.66
2026-07-20,IZINV,elenen,orta,7.6,0.304,61.4,1dk,hedef,63.242,10:37,2.97,7.74,-0.73,10:41,10:02,66.15,60.95
2026-07-07,IZMDC,elenen,tepe,9.5,0.895,9.3,15dk,gun_sonu,9.1,18:00,-2.18,2.58,-3.44,13:00,10:00,9.54,8.98
2026-07-21,IZMDC,elenen,tepe,9.9,1.04,12.52,1dk,hedef,12.8956,10:01,2.97,7.35,-1.76,10:03,10:00,13.44,12.3
2026-07-06,JANTS,dipkir,dip,79.5,0.168,17.78,15dk,stop,17.2466,10:15,-3.03,1.01,-7.14,10:00,17:45,17.96,16.51
2026-07-09,JANTS,dipkir,dip,18.8,0.181,18.0,1dk,hedef,18.54,10:02,2.97,6.39,-8.33,10:14,15:05,19.15,16.5
2026-07-07,KARTN,elenen,tepe,8.6,1.057,189.0,15dk,stop,183.33,10:15,-3.03,1.43,-12.33,10:00,11:15,191.7,165.7
2026-07-02,KGYO,elenen,tepe,5.9,0.898,12.3,15dk,stop,11.931,17:15,-3.03,1.22,-3.66,10:00,17:30,12.45,11.85
2026-07-08,KGYO,elenen,orta,32.1,0.576,9.02,15dk,hedef,9.2906,10:00,2.97,4.32,-1.22,10:00,18:00,9.41,8.91
2026-07-09,KGYO,elenen,orta,15.3,0.478,8.03,1dk,hedef,8.2709,10:42,2.97,6.35,0.87,10:52,16:57,8.54,8.1
2026-07-13,KGYO,elenen,orta,6.9,0.354,6.76,1dk,hedef,6.9628,14:51,2.97,10.36,-1.04,15:16,13:08,7.46,6.69
2026-07-06,KLMSN,elenen,orta,9.1,0.384,35.84,15dk,stop,34.7648,16:45,-3.03,1.62,-3.24,10:15,16:45,36.42,34.68
2026-07-02,KLNMA,elenen,orta,6.8,0.449,10.6,1dk,gun_sonu,10.6,18:08,-0.03,0.47,0.0,17:55,18:08,10.65,10.6
2026-07-24,KLNMA,elenen,orta,6.7,0.217,10.2,1dk,stop,9.894,13:55,-3.03,-2.84,-3.92,12:55,18:09,9.91,9.8
2026-07-23,KLSYN,elenen,orta,5.2,0.78,14.04,1dk,stop,13.6188,10:37,-3.03,1.5,-3.63,10:00,11:12,14.25,13.53
2026-07-01,KOCMT,elenen,tepe,5.7,1.078,3.8,15dk,stop,3.686,10:15,-3.03,1.58,-5.0,11:15,10:00,3.86,3.61
2026-07-07,KOCMT,elenen,tepe,5.1,1.041,5.0,15dk,hedef,5.15,10:00,2.97,5.4,-10.0,10:00,10:15,5.27,4.5
2026-07-21,KONKA,elenen,orta,9.4,0.391,14.1,1dk,stop,13.677,10:38,-3.03,0.92,-6.6,10:00,17:57,14.23,13.17
2026-07-08,KORDS,elenen,orta,6.3,0.626,76.95,15dk,hedef,79.2585,10:00,2.97,9.1,0.06,18:00,10:00,83.95,77.0
2026-07-09,KORDS,elenen,orta,10.0,0.798,85.05,1dk,stop,82.4985,10:41,-3.03,-2.06,-9.41,10:39,11:13,83.3,77.05
2026-07-27,KORDS,elenen,orta,11.2,0.597,75.55,1dk,stop,73.2835,10:15,-3.03,-0.07,-4.3,10:00,11:22,75.5,72.3
2026-07-16,KRDMA,elenen,tepe,5.1,0.863,41.04,1dk,gun_sonu,41.14,18:09,0.21,1.51,-0.49,11:29,15:40,41.66,40.84
2026-07-21,KRDMA,elenen,tepe,7.1,1.019,45.7,1dk,hedef,47.071,10:01,2.97,8.32,-0.57,10:11,10:00,49.5,45.44
2026-07-24,KRONT,elenen,tepe,8.3,0.806,24.48,1dk,hedef,25.2144,10:00,2.97,5.31,-7.11,10:01,15:53,25.78,22.74
2026-07-27,KRPLS,elenen,orta,11.1,0.604,9.55,1dk,gun_sonu,9.36,11:30,-2.02,1.36,-2.72,10:22,11:00,9.68,9.29
2026-07-02,KRTEK,dipkir,dip,13.1,0.052,23.44,1dk,gun_sonu,22.96,18:08,-2.08,0.0,-2.39,10:02,17:10,23.44,22.88
2026-07-01,KTSKR,elenen,orta,7.6,0.603,113.9,15dk,stop,110.483,13:00,-3.03,1.58,-6.06,11:15,18:00,115.7,107.0
2026-07-24,KUVVA,elenen,orta,16.6,0.667,145.0,1dk,hedef,149.35,10:00,2.97,6.41,0.62,18:08,10:00,154.3,145.9
2026-07-27,KUVVA,elenen,orta,6.4,0.77,154.3,1dk,hedef,158.929,10:01,2.97,9.72,0.0,10:05,10:00,169.3,154.3
2026-07-01,KUYAS,elenen,orta,23.3,0.649,74.0,15dk,hedef,76.22,10:00,2.97,8.65,-2.5,10:00,10:30,80.4,72.15
2026-07-21,KUYAS,elenen,orta,8.9,0.332,55.1,1dk,hedef,56.753,10:40,2.97,20.87,0.0,16:06,10:39,66.6,55.1
2026-07-23,KUYAS,elenen,orta,8.0,0.562,68.8,1dk,hedef,70.864,10:02,2.97,6.4,-1.31,18:08,10:00,73.2,67.9
2026-07-06,LIDER,elenen,orta,61.5,0.436,89.0,15dk,hedef,91.67,10:00,2.97,15.51,0.0,16:15,10:00,102.8,89.0
