tarih,hisse,kat,kat_kova,en_yuksek_%,barem,stop
2024-08-01,ATSYH,3.82,3-5x,0.0,stop/<1%,False
2024-08-02,ATSYH,12.62,8x+,0.0,stop/<1%,False
2024-10-01,ATSYH,5.06,5-8x,4.8,+4%,True
2024-10-07,ATSYH,4.53,3-5x,0.0,stop/<1%,False
2024-10-09,ATSYH,14.56,8x+,14.58,+5%+,False
2024-11-27,ATSYH,5.56,5-8x,0.0,stop/<1%,True
2024-12-31,ATSYH,4.57,3-5x,0.0,stop/<1%,False
2025-01-07,ATSYH,3.73,3-5x,2.13,+2%,False
2025-02-03,ATSYH,3.22,3-5x,0.0,stop/<1%,True
2025-02-11,ATSYH,9.03,8x+,5.3,+5%+,False
2025-02-12,ATSYH,6.88,5-8x,5.46,+5%+,False
2025-04-04,ATSYH,9.29,8x+,0.0,stop/<1%,False
2025-04-07,ATSYH,4.17,3-5x,0.0,stop/<1%,True
2025-05-27,ATSYH,3.27,3-5x,9.12,+5%+,False
2025-07-14,ATSYH,4.59,3-5x,0.0,stop/<1%,False
2025-07-16,ATSYH,8.35,8x+,5.0,+5%+,False
2025-08-26,ATSYH,3.14,3-5x,0.99,stop/<1%,False
2025-08-28,ATSYH,3.13,3-5x,1.37,+1%,False
2025-09-23,ATSYH,3.47,3-5x,4.08,+4%,False
2025-09-24,ATSYH,6.66,5-8x,2.71,+2%,False
2025-09-26,ATSYH,7.88,5-8x,20.08,+5%+,False
2025-10-27,ATSYH,3.07,3-5x,5.57,+5%+,False
2025-10-30,ATSYH,5.44,5-8x,7.23,+5%+,False
2025-12-29,ATSYH,3.67,3-5x,0.0,stop/<1%,False
2026-02-03,ATSYH,3.19,3-5x,5.18,+5%+,False
2026-03-02,ATSYH,3.54,3-5x,4.38,+4%,False
2026-03-25,ATSYH,4.59,3-5x,0.35,stop/<1%,True
2026-04-24,ATSYH,4.95,3-5x,0.0,stop/<1%,True
2026-05-12,ATSYH,4.71,3-5x,0.0,stop/<1%,True
2026-06-05,AVGYO,83.49,8x+,1.57,+1%,True
2026-05-26,AVHOL,15.92,8x+,0.05,stop/<1%,False
2026-06-05,AVHOL,11.35,8x+,5.21,+5%+,True
2026-05-26,AVOD,4.43,3-5x,0.22,stop/<1%,False
2026-05-26,AVTUR,6.56,5-8x,3.43,+3%,False
2026-05-26,AYCES,15.19,8x+,2.1,+2%,False
2026-05-26,AYDEM,15.28,8x+,0.16,stop/<1%,False
2026-05-26,AYEN,12.66,8x+,1.59,+1%,False
2023-02-23,AYES,5.3,5-8x,6.17,+5%+,False
