tarih,hisse,grup,tf,giris,tp,sl,sebep,cikis,cikis_saat,getiri_%,max_fiyat,min_fiyat,max_%,min_%,max_saat,min_saat,durum,hatalar
2026-06-10,DIRIT,dip,1dk,22.34,23.0102,21.6698,stop,21.6698,13:55,-3.03,23.0,21.32,2.95,-4.57,12:55,17:55,PASS,
2026-06-11,BARMA,kirilim,15dk,67.15,69.1645,65.1355,gun_sonu,68.2,18:00,1.53,68.7,66.6,2.31,-0.82,16:45,10:15,PASS,
2026-06-11,KZBGY,dip,15dk,3.22,3.3166,3.1234,stop,3.1234,10:15,-3.03,3.22,3.02,0.0,-6.21,10:00,15:45,PASS,
2026-06-11,TRILC,dip,1dk,1.35,1.3905,1.3095,gun_sonu,1.35,18:09,-0.03,1.35,1.32,0.0,-2.22,18:09,17:55,PASS,
2026-06-15,INTEK,dip,1dk,249.7,257.191,242.209,gun_sonu,246.4,18:09,-1.35,247.0,245.0,-1.08,-1.88,12:55,13:55,PASS,
2026-06-15,MTRKS,kirilim,1dk,30.74,31.6622,29.8178,stop,29.8178,13:46,-3.03,28.92,27.56,-5.92,-10.34,14:00,17:19,PASS,
2026-06-15,VBTYZ,kirilim,1dk,34.94,35.9882,33.8918,stop,33.8918,15:15,-3.03,33.76,31.58,-3.38,-9.62,16:29,15:59,PASS,
2026-06-15,VERUS,kirilim,1dk,622.0,640.66,603.34,hedef,640.66,10:00,2.97,679.5,624.5,9.24,0.4,13:40,10:00,PASS,
2026-06-16,DGGYO,kirilim,1dk,34.54,35.5762,33.5038,hedef,35.5762,10:13,2.97,37.94,33.2,9.84,-3.88,11:13,10:02,PASS,
2026-06-16,EUKYO,kirilim,1dk,9.8,10.094,9.506,hedef,10.094,10:00,2.97,10.61,9.8,8.27,0.0,10:00,10:00,PASS,
2026-06-18,BANVT,dip,1dk,162.8,167.684,157.916,stop,157.916,10:15,-3.03,176.8,155.0,8.6,-4.79,13:57,10:01,PASS,
2026-06-18,IHLAS,dip,1dk,1.22,1.2566,1.1834,hedef,1.2566,13:05,2.97,1.26,1.2,3.28,-1.64,14:34,10:11,PASS,
2026-06-18,YAYLA,dip,1dk,25.64,26.4092,24.8708,hedef,26.4092,10:00,2.97,27.34,25.64,6.63,0.0,18:08,10:00,PASS,
2026-06-19,BIGCH,dip,1dk,6.79,6.9937,6.5863,hedef,6.9937,10:00,2.97,7.7,6.8,13.4,0.15,18:05,10:00,PASS,
2026-06-22,BORLS,dip,1dk,6.65,6.8495,6.4505,hedef,6.8495,10:00,2.97,7.09,6.65,6.62,0.0,18:08,10:00,PASS,
2026-06-22,ENSRI,dip,1dk,6.8,7.004,6.596,hedef,7.004,10:00,2.97,7.31,6.8,7.5,0.0,10:38,18:09,PASS,
2026-06-22,IHLAS,dip,1dk,1.23,1.2669,1.1931,hedef,1.2669,10:00,2.97,1.32,1.22,7.32,-0.81,18:08,10:00,PASS,
2026-06-23,IHLAS,dip,1dk,1.37,1.4111,1.3289,hedef,1.4111,10:00,2.97,1.45,1.28,5.84,-6.57,10:00,18:09,PASS,
2026-06-23,IHLGM,dip,1dk,2.07,2.1321,2.0079,hedef,2.1321,10:00,2.97,2.19,1.95,5.8,-5.8,10:00,17:47,PASS,
2026-06-23,IHYAY,dip,1dk,1.86,1.9158,1.8042,hedef,1.9158,10:00,2.97,1.95,1.7,4.84,-8.6,10:00,17:59,PASS,
2026-06-24,BORLS,dip,1dk,7.8,8.034,7.566,hedef,8.034,10:14,2.97,8.56,7.3,9.74,-6.41,11:20,16:28,PASS,
2026-06-24,POLTK,dip,1dk,5097.5,5250.425,4944.575,gun_sonu,5005.0,18:08,-1.85,5097.5,4980.0,0.0,-2.31,10:00,10:17,PASS,
2026-06-26,ATSYH,kirilim,1dk,108.0,111.24,104.76,hedef,111.24,12:55,2.97,113.6,111.0,5.19,2.78,13:55,18:09,PASS,
2026-06-29,BMSCH,dip,1dk,14.98,15.4294,14.5306,gun_sonu,14.7,18:09,-1.9,15.3,14.68,2.14,-2.0,10:05,17:59,PASS,
2026-06-29,FORMT,dip,1dk,2.24,2.3072,2.1728,gun_sonu,2.22,18:08,-0.93,2.27,2.21,1.34,-1.34,11:13,16:23,PASS,
2026-06-29,ISGYO,kirilim,1dk,27.4,28.222,26.578,stop,26.578,10:21,-3.03,28.06,24.62,2.41,-10.15,10:00,18:09,PASS,
2026-06-29,KOCMT,kirilim,1dk,3.32,3.4196,3.2204,gun_sonu,3.35,18:09,0.87,3.4,3.28,2.41,-1.2,10:27,10:00,PASS,
2026-06-29,KUTPO,dip,1dk,87.5,90.125,84.875,gun_sonu,87.2,18:08,-0.38,88.95,84.95,1.66,-2.91,10:18,16:35,PASS,
2026-06-29,MARMR,dip,1dk,2.72,2.8016,2.6384,stop,2.6384,10:20,-3.03,2.72,2.45,0.0,-9.93,17:24,17:53,PASS,
2026-06-29,VESBE,dip,1dk,6.99,7.1997,6.7803,hedef,7.1997,10:00,2.97,7.4,6.98,5.87,-0.14,18:08,10:00,PASS,
2026-06-29,VSNMD,dip,1dk,101.8,104.854,98.746,hedef,104.854,10:48,2.97,109.1,101.0,7.17,-0.79,17:10,10:07,PASS,
2026-06-30,FORMT,dip,1dk,2.19,2.2557,2.1243,gun_sonu,2.19,18:08,-0.03,2.2,2.17,0.46,-0.91,17:59,10:00,PASS,
2026-06-30,KOCMT,kirilim,1dk,3.44,3.5432,3.3368,hedef,3.5432,10:00,2.97,3.68,3.44,6.98,0.0,18:09,10:00,PASS,
2026-06-30,KRONT,kirilim,1dk,24.0,24.72,23.28,hedef,24.72,16:21,2.97,25.28,23.26,5.33,-3.08,16:36,10:03,PASS,
2026-06-30,PKENT,dip,1dk,146.3,150.689,141.911,gun_sonu,146.0,18:08,-0.24,148.9,145.5,1.78,-0.55,10:15,17:58,PASS,
2026-06-30,VESBE,dip,1dk,7.69,7.9207,7.4593,stop,7.4593,10:15,-3.03,7.75,6.66,0.78,-13.39,10:00,18:09,PASS,
