tarih,hisse,tf,giris_rapor,giris_sim,sebep_rapor,sebep_sim,getiri_rapor,getiri_sim,durum,hatalar,kat,getiri_%
2026-02-03,TRCAS,15dk,48.32,48.32,hedef,hedef,2.97,2.97,PASS,,8.6,2.97
2026-02-04,ACSEL,15dk,101.5,101.5,hedef,hedef,2.97,2.97,PASS,,7.6,2.97
2026-02-04,CMBTN,15dk,1899.0,1899.0,gun_sonu,gun_sonu,-0.03,-0.03,PASS,,5.4,-0.03
2026-02-04,DERHL,15dk,17.3,17.3,hedef,hedef,2.97,2.97,PASS,,7.3,2.97
2026-02-04,ESCAR,15dk,27.0,27.0,gun_sonu,gun_sonu,-1.0,-1.0,PASS,,13.0,-1.0
2026-02-04,RAYSG,15dk,232.0,232.0,stop,stop,-3.03,-3.03,PASS,,10.0,-3.03
2026-02-05,DYOBY,15dk,14.2,14.2,hedef,hedef,2.97,2.97,PASS,,6.2,2.97
2026-02-06,LINK,15dk,5.753601,5.7536,hedef,hedef,2.97,2.97,PASS,,5.4,2.97
2026-02-09,ARENA,15dk,28.0,28.0,gun_sonu,gun_sonu,0.25,0.25,PASS,,34.3,0.25
2026-02-09,BANVT,15dk,168.7,168.7,hedef,hedef,2.97,2.97,PASS,,5.1,2.97
2026-02-09,EBEBK,15dk,62.45,62.45,gun_sonu,gun_sonu,-0.19,-0.19,PASS,,5.8,-0.19
2026-02-09,EMKEL,15dk,22.58,22.58,hedef,hedef,2.97,2.97,PASS,,11.4,2.97
2026-02-09,MERCN,15dk,18.0,18.0,gun_sonu,gun_sonu,2.41,2.41,PASS,,5.8,2.41
2026-02-09,SUWEN,15dk,8.75,8.75,gun_sonu,gun_sonu,-0.83,-0.83,PASS,,17.5,-0.83
2026-02-09,TEKTU,15dk,9.33,9.33,hedef,hedef,2.97,2.97,PASS,,13.7,2.97
2026-02-10,CMBTN,15dk,1971.0,1971.0,hedef,hedef,2.97,2.97,PASS,,5.1,2.97
2026-02-10,MERCN,15dk,18.59,18.59,hedef,hedef,2.97,2.97,PASS,,6.0,2.97
2026-02-10,TTRAK,15dk,580.5,580.5,stop,stop,-3.03,-3.03,PASS,,6.1,-3.03
2026-02-11,DYOBY,15dk,15.39,15.39,hedef,hedef,2.97,2.97,PASS,,11.9,2.97
2026-02-11,GZNMI,15dk,54.45,54.45,hedef,hedef,2.97,2.97,PASS,,7.8,2.97
2026-02-11,MARKA,15dk,39.64,39.64,stop,stop,-3.03,-3.03,PASS,,11.6,-3.03
2026-02-11,PKENT,15dk,169.9,169.9,hedef,hedef,2.97,2.97,PASS,,40.0,2.97
2026-02-12,ODINE,15dk,345.75,345.75,hedef,hedef,2.97,2.97,PASS,,83.7,2.97
2026-02-12,VSNMD,15dk,94.0,94.0,hedef,hedef,2.97,2.97,PASS,,13.1,2.97
2026-02-13,GEREL,15dk,27.44,27.44,stop,stop,-3.03,-3.03,PASS,,9.0,-3.03
2026-02-13,GZNMI,15dk,57.75,57.75,hedef,hedef,2.97,2.97,PASS,,12.4,2.97
2026-02-13,QUAGR,15dk,3.09,3.09,hedef,hedef,2.97,2.97,PASS,,8.8,2.97
2026-02-13,YAPRK,15dk,14.3571285,14.3571,hedef,hedef,2.97,2.97,PASS,,25.9,2.97
2026-02-16,AKFIS,15dk,25.6,25.6,hedef,hedef,2.97,2.97,PASS,,13.2,2.97
2026-02-16,ALBRK,15dk,10.25,10.25,gun_sonu,gun_sonu,0.26,0.26,PASS,,19.3,0.26
2026-02-16,ASUZU,15dk,67.0,67.0,hedef,hedef,2.97,2.97,PASS,,7.5,2.97
2026-02-16,BIENY,15dk,27.2,27.2,hedef,hedef,2.97,2.97,PASS,,6.7,2.97
2026-02-16,CEOEM,15dk,23.1,23.1,hedef,hedef,2.97,2.97,PASS,,6.7,2.97
2026-02-16,EKGYO,15dk,26.5,26.5,gun_sonu,gun_sonu,-1.77,-1.77,PASS,,5.0,-1.77
2026-02-16,GZNMI,15dk,65.05,65.05,hedef,hedef,2.97,2.97,PASS,,12.1,2.97
2026-02-16,HLGYO,15dk,5.0,5.0,hedef,hedef,2.97,2.97,PASS,,8.0,2.97
2026-02-16,IHLAS,15dk,1.86973426,1.8697,stop,stop,-3.03,-3.03,PASS,,14.3,-3.03
2026-02-16,IHYAY,15dk,1.97,1.97,gun_sonu,gun_sonu,0.98,0.98,PASS,,16.3,0.98
2026-02-16,OZKGY,15dk,16.1,16.1,gun_sonu,gun_sonu,0.84,0.84,PASS,,12.7,0.84
2026-02-16,QUAGR,15dk,3.46,3.46,hedef,hedef,2.97,2.97,PASS,,13.3,2.97
2026-02-16,SANFM,15dk,7.39,7.39,gun_sonu,gun_sonu,0.64,0.64,PASS,,5.3,0.64
2026-02-16,YAPRK,15dk,15.761889,15.7619,stop,stop,-3.03,-3.03,PASS,,22.6,-3.03
2026-02-17,BORLS,15dk,3.08,3.08,hedef,hedef,2.97,2.97,PASS,,5.0,2.97
2026-02-17,HATEK,15dk,17.1,17.1,hedef,hedef,2.97,2.97,PASS,,50.9,2.97
2026-02-17,KAYSE,15dk,5.56,5.56,hedef,hedef,2.97,2.97,PASS,,13.4,2.97
2026-02-18,A1CAP,15dk,18.1,18.1,hedef,hedef,2.97,2.97,PASS,,5.3,2.97
2026-02-18,AKFGY,15dk,3.11,3.11,gun_sonu,gun_sonu,-2.61,-2.61,PASS,,6.7,-2.61
2026-02-18,KBORU,15dk,18.6,18.6,hedef,hedef,2.97,2.97,PASS,,8.1,2.97
2026-02-18,ORGE,15dk,73.8,73.8,hedef,hedef,2.97,2.97,PASS,,5.5,2.97
2026-02-18,OYYAT,15dk,64.25,64.25,stop,stop,-3.03,-3.03,PASS,,13.0,-3.03
2026-02-18,TATGD,15dk,16.8,16.8,hedef,hedef,2.97,2.97,PASS,,21.6,2.97
2026-02-19,AYGAZ,15dk,247.0,247.0,gun_sonu,gun_sonu,1.38,1.38,PASS,,7.2,1.38
2026-02-19,NIBAS,15dk,5.7,5.7,hedef,hedef,2.97,2.97,PASS,,6.1,2.97
2026-02-19,VSNMD,15dk,93.0,93.0,hedef,hedef,2.97,2.97,PASS,,7.9,2.97
2026-02-20,EBEBK,15dk,61.6,61.6,hedef,hedef,2.97,2.97,PASS,,6.5,2.97
2026-02-20,PAMEL,15dk,86.0,86.0,hedef,hedef,2.97,2.97,PASS,,10.9,2.97
2026-02-24,A1CAP,15dk,18.99,18.99,stop,stop,-3.03,-3.03,PASS,,52.8,-3.03
2026-02-24,FENER,15dk,3.22,3.22,gun_sonu,gun_sonu,-2.83,-2.83,PASS,,7.3,-2.83
2026-02-24,HATEK,15dk,16.98,16.98,hedef,hedef,2.97,2.97,PASS,,6.1,2.97
2026-02-24,VAKKO,15dk,82.25,82.25,stop,stop,-3.03,-3.03,PASS,,12.5,-3.03
2026-02-25,ASUZU,15dk,74.3,74.3,stop,stop,-3.03,-3.03,PASS,,8.3,-3.03
2026-02-25,IHAAS,15dk,70.0,70.0,hedef,hedef,2.97,2.97,PASS,,52.9,2.97
2026-02-25,POLTK,15dk,6000.0,6000.0,hedef,hedef,2.97,2.97,PASS,,50.1,2.97
2026-02-25,TKNSA,15dk,21.84,21.84,stop,stop,-3.03,-3.03,PASS,,55.4,-3.03
2026-02-26,DERHL,15dk,16.46,16.46,hedef,hedef,2.97,2.97,PASS,,11.4,2.97
2026-02-26,RAYSG,15dk,238.2,238.2,stop,stop,-3.03,-3.03,PASS,,5.1,-3.03
2026-02-26,SUMAS,1dk,261.5,261.5,hedef,hedef,2.97,2.97,PASS,,7.0,2.97
2026-02-26,YAPRK,15dk,16.27379325,16.2738,stop,stop,-3.03,-3.03,PASS,,6.1,-3.03
2026-02-27,PATEK,15dk,18.6,18.6,hedef,hedef,2.97,2.97,PASS,,5.8,2.97
2026-03-02,ALCAR,15dk,750.0,750.0,hedef,hedef,2.97,2.97,PASS,,9.0,2.97
2026-03-02,ANGEN,15dk,9.8,9.8,hedef,hedef,2.97,2.97,PASS,,13.4,2.97
2026-03-02,AVHOL,15dk,33.8,33.8,hedef,hedef,2.97,2.97,PASS,,14.7,2.97
2026-03-02,BEGYO,15dk,3.96,3.96,hedef,hedef,2.97,2.97,PASS,,9.1,2.97
2026-03-02,BIENY,15dk,20.82,20.82,hedef,hedef,2.97,2.97,PASS,,11.6,2.97
2026-03-02,BIOEN,15dk,14.67,14.67,hedef,hedef,2.97,2.97,PASS,,6.8,2.97
2026-03-02,BORLS,15dk,2.84,2.84,hedef,hedef,2.97,2.97,PASS,,6.1,2.97
2026-03-02,CEOEM,15dk,18.7,18.7,hedef,hedef,2.97,2.97,PASS,,8.2,2.97
2026-03-02,DGGYO,15dk,27.14,27.14,hedef,hedef,2.97,2.97,PASS,,50.2,2.97
2026-03-02,DNISI,15dk,19.17,19.17,hedef,hedef,2.97,2.97,PASS,,27.3,2.97
2026-03-02,DOFER,15dk,29.16,29.16,hedef,hedef,2.97,2.97,PASS,,6.1,2.97
2026-03-02,EGEEN,15dk,6000.0,6000.0,hedef,hedef,2.97,2.97,PASS,,9.6,2.97
2026-03-02,EGSER,15dk,2.81,2.81,hedef,hedef,2.97,2.97,PASS,,8.3,2.97
2026-03-02,EKSUN,15dk,4.9,4.9,hedef,hedef,2.97,2.97,PASS,,7.4,2.97
2026-03-02,ESCAR,15dk,24.5,24.5,hedef,hedef,2.97,2.97,PASS,,5.6,2.97
2026-03-02,FMIZP,15dk,285.0,285.0,gun_sonu,gun_sonu,0.05,0.05,PASS,,7.4,0.05
2026-03-02,GIPTA,15dk,50.8,50.8,hedef,hedef,2.97,2.97,PASS,,7.8,2.97
2026-03-02,IHEVA,15dk,2.07,2.07,hedef,hedef,2.97,2.97,PASS,,15.4,2.97
2026-03-02,INGRM,15dk,354.75,354.75,hedef,hedef,2.97,2.97,PASS,,58.4,2.97
2026-03-02,INVEO,15dk,7.2,7.2,hedef,hedef,2.97,2.97,PASS,,16.7,2.97
2026-03-02,INVES,15dk,208.6,208.6,hedef,hedef,2.97,2.97,PASS,,13.1,2.97
2026-03-02,KFEIN,15dk,8.11,8.11,hedef,hedef,2.97,2.97,PASS,,5.5,2.97
2026-03-02,KMPUR,15dk,13.31,13.31,hedef,hedef,2.97,2.97,PASS,,6.0,2.97
2026-03-02,KOTON,15dk,14.35,14.35,hedef,hedef,2.97,2.97,PASS,,5.4,2.97
2026-03-02,KRDMB,15dk,34.5,34.5,hedef,hedef,2.97,2.97,PASS,,7.2,2.97
2026-03-02,KRTEK,15dk,25.5,25.5,hedef,hedef,2.97,2.97,PASS,,5.4,2.97
2026-03-02,LYDYE,15dk,13100.0,13100.0,hedef,hedef,2.97,2.97,PASS,,6.3,2.97
2026-03-02,MARBL,15dk,11.3,11.3,hedef,hedef,2.97,2.97,PASS,,6.3,2.97
2026-03-02,MERCN,15dk,15.34,15.34,hedef,hedef,2.97,2.97,PASS,,5.0,2.97
2026-03-02,NATEN,15dk,7.26,7.26,hedef,hedef,2.97,2.97,PASS,,5.5,2.97
2026-03-02,ORGE,15dk,65.05,65.05,hedef,hedef,2.97,2.97,PASS,,6.2,2.97
2026-03-02,OTTO,15dk,284.0,284.0,hedef,hedef,2.97,2.97,PASS,,8.3,2.97
2026-03-02,PAMEL,15dk,77.75,77.75,hedef,hedef,2.97,2.97,PASS,,5.6,2.97
2026-03-02,PARSN,15dk,80.0,80.0,hedef,hedef,2.97,2.97,PASS,,20.3,2.97
2026-03-02,PATEK,15dk,18.9,18.9,hedef,hedef,2.97,2.97,PASS,,8.2,2.97
2026-03-02,PENTA,15dk,12.65,12.65,hedef,hedef,2.97,2.97,PASS,,11.5,2.97
2026-03-02,PLTUR,15dk,20.08,20.08,hedef,hedef,2.97,2.97,PASS,,6.8,2.97
2026-03-02,RAYSG,15dk,198.5,198.5,hedef,hedef,2.97,2.97,PASS,,6.5,2.97
2026-03-02,SAMAT,15dk,5.2,5.2,hedef,hedef,2.97,2.97,PASS,,9.6,2.97
2026-03-02,SANFM,15dk,7.01,7.01,hedef,hedef,2.97,2.97,PASS,,7.0,2.97
2026-03-02,SKYMD,15dk,11.27,11.27,hedef,hedef,2.97,2.97,PASS,,20.5,2.97
2026-03-02,SMRVA,15dk,10.245986,10.246,hedef,hedef,2.97,2.97,PASS,,6.7,2.97
2026-03-02,SUNTK,15dk,33.14,33.14,hedef,hedef,2.97,2.97,PASS,,10.8,2.97
2026-03-02,TATEN,15dk,8.16,8.16,hedef,hedef,2.97,2.97,PASS,,6.2,2.97
2026-03-02,TRILC,15dk,2.25310222,2.2531,hedef,hedef,2.97,2.97,PASS,,11.9,2.97
2026-03-02,TUREX,15dk,6.49,6.49,hedef,hedef,2.97,2.97,PASS,,5.4,2.97
2026-03-02,VERTU,15dk,35.26,35.26,hedef,hedef,2.97,2.97,PASS,,7.2,2.97
2026-03-02,VESBE,15dk,7.4,7.4,hedef,hedef,2.97,2.97,PASS,,6.3,2.97
