tarih,giris,cikis,sonuc,getiri_brut,getiri_net,kat,acilis_ciro,hisse,hedef
2025-02-18,28.18,27.6164,stop,-0.020000000000000018,-0.027000000000000017,3.35325941851805,3357495.96,CGCAM,0.03
2025-03-04,26.9,26.362,stop,-0.020000000000000018,-0.027000000000000017,4.561557354306326,3582165.4,CGCAM,0.03
2025-03-05,26.02,26.8006,hedef,0.030000000000000027,0.023000000000000027,13.461670531062879,10702510.0,CGCAM,0.03
2025-04-03,28.62,28.0476,stop,-0.020000000000000018,-0.027000000000000017,6.700374158144176,7682474.800000001,CGCAM,0.03
2025-04-28,31.12,32.0536,hedef,0.030000000000000027,0.023000000000000027,5.9971989840101765,4501320.7,CGCAM,0.03
2025-06-05,28.46,28.62,kapanis,0.005621925509486925,-0.0013780744905130754,17.355871954315937,10317819.84,CGCAM,0.03
2025-06-24,26.2,26.986,hedef,0.030000000000000027,0.023000000000000027,3.3312697245314986,1882212.1,CGCAM,0.03
2025-08-04,32.06,31.4188,stop,-0.020000000000000018,-0.027000000000000017,37.99424823539961,19017639.34,CGCAM,0.03
2025-08-08,37.52,38.6456,hedef,0.030000000000000027,0.023000000000000027,8.400407896551647,27864300.0,CGCAM,0.03
2025-09-29,39.7,38.906,stop,-0.02000000000000013,-0.027000000000000128,3.254862694134941,1819609.8,CGCAM,0.03
2025-10-07,35.18,36.2354,hedef,0.030000000000000027,0.023000000000000027,3.5299309785990247,1716432.2,CGCAM,0.03
2025-10-09,36.02,35.299600000000005,stop,-0.019999999999999907,-0.026999999999999906,7.053024701890083,4018032.0,CGCAM,0.03
2025-10-13,34.18,33.5,kapanis,-0.01989467524868338,-0.02689467524868338,3.780950840630608,3346178.88,CGCAM,0.03
2025-10-28,33.5,33.18,kapanis,-0.009552238805970115,-0.016552238805970114,53.85232266419581,33592130.0,CGCAM,0.03
2025-12-01,35.98,37.0594,hedef,0.030000000000000027,0.023000000000000027,10.190768677415562,5303916.0,CGCAM,0.03
2026-01-27,41.5,40.67,stop,-0.019999999999999907,-0.026999999999999906,4.213680900307647,3075067.0,CGCAM,0.03
2026-03-02,34.08,35.102399999999996,hedef,0.030000000000000027,0.023000000000000027,12.82072198587419,4231406.88,CGCAM,0.03
2026-03-19,36.06,35.98,kapanis,-0.002218524681087186,-0.009218524681087185,30.50734371540335,14698512.64,CGCAM,0.03
2026-04-08,36.02,36.46,kapanis,0.012215435868961677,0.005215435868961677,5.554997294581433,3106292.7600000002,CGCAM,0.03
2026-04-14,37.08,38.1924,hedef,0.030000000000000027,0.023000000000000027,3.6755518147874873,3673757.8000000003,CGCAM,0.03
2026-04-15,41.24,40.4152,stop,-0.02000000000000013,-0.027000000000000128,12.38103276043843,18451889.48,CGCAM,0.03
2026-05-22,36.3,37.388999999999996,hedef,0.030000000000000027,0.023000000000000027,3.2312774064066314,2252903.0,CGCAM,0.03
2026-05-26,41.12,40.96,kapanis,-0.0038910505836574627,-0.010891050583657462,25.926531574913028,27160598.44,CGCAM,0.03
2026-06-03,46.48,47.8744,hedef,0.030000000000000027,0.023000000000000027,4.038435025911888,16589115.4,CGCAM,0.03
2026-06-04,46.02,45.0996,stop,-0.020000000000000018,-0.027000000000000017,3.4190376426824005,19203068.0,CGCAM,0.03
2024-06-14,34.0,33.32,stop,-0.020000000000000018,-0.027000000000000017,8.931025252074596,340306.0,KLRHO,0.03
2024-06-27,32.14,32.3,kapanis,0.004978220286247614,-0.0020217797137523858,13.804318305268875,653031.72,KLRHO,0.03
2024-08-06,33.24,34.2372,hedef,0.030000000000000027,0.023000000000000027,7.430471151783799,345671.18,KLRHO,0.03
2024-08-12,36.2,35.476,stop,-0.02000000000000013,-0.027000000000000128,8.656978896704924,677157.2000000001,KLRHO,0.03
2024-08-16,32.22,31.575599999999998,stop,-0.020000000000000018,-0.027000000000000017,5.634262158213317,697086.6,KLRHO,0.03
2024-09-18,30.94,31.8682,hedef,0.030000000000000027,0.023000000000000027,124.26077265973255,1036981.0,KLRHO,0.03
2024-10-31,27.48,28.3044,hedef,0.030000000000000027,0.023000000000000027,12.883971466006697,243198.0,KLRHO,0.03
2024-11-04,32.16,31.516799999999996,stop,-0.020000000000000018,-0.027000000000000017,6.648873440506486,343212.48,KLRHO,0.03
2024-12-10,32.74,32.0852,stop,-0.020000000000000018,-0.027000000000000017,32.94657225619569,1347123.4,KLRHO,0.03
2025-01-06,32.68,32.34,kapanis,-0.0104039167686657,-0.0174039167686657,6.34829505915101,237622.88,KLRHO,0.03
2025-01-21,30.7,31.621,hedef,0.030000000000000027,0.023000000000000027,6.547502127938192,307000.0,KLRHO,0.03
2025-02-19,27.4,27.3,kapanis,-0.0036496350364962904,-0.01064963503649629,95.66012607653379,2952130.8,KLRHO,0.03
2025-04-08,27.72,27.165599999999998,stop,-0.020000000000000018,-0.027000000000000017,15.215444516547697,649950.84,KLRHO,0.03
2025-04-09,27.6,27.048000000000002,stop,-0.020000000000000018,-0.027000000000000017,3.289826520002189,333037.1,KLRHO,0.03
2025-04-14,30.08,29.478399999999997,stop,-0.020000000000000018,-0.027000000000000017,14.776769343601027,1939377.92,KLRHO,0.03
2025-05-05,26.98,27.7894,hedef,0.030000000000000027,0.023000000000000027,4.532204719995515,218133.30000000002,KLRHO,0.03
2025-05-12,30.38,29.772399999999998,stop,-0.020000000000000018,-0.027000000000000017,5.433834070934364,530024.0,KLRHO,0.03
2025-05-15,33.62,33.62,kapanis,0.0,-0.007,12.942228076778322,1849772.4,KLRHO,0.03
2025-05-16,36.98,36.98,kapanis,0.0,-0.007,25.780497076924657,9278984.62,KLRHO,0.03
2025-05-20,40.66,40.66,kapanis,0.0,-0.007,4.1865688640537915,5903791.34,KLRHO,0.03
2025-05-21,43.48,42.6104,stop,-0.020000000000000018,-0.027000000000000017,10.01640716211888,21182657.3,KLRHO,0.03
2025-05-22,44.84,46.1852,hedef,0.030000000000000027,0.023000000000000027,3.2863447012380864,14150660.16,KLRHO,0.03
2025-06-05,68.5,70.555,hedef,0.030000000000000027,0.023000000000000027,13.350044615411923,55515654.699999996,KLRHO,0.03
2025-07-24,65.0,66.95,hedef,0.030000000000000027,0.023000000000000027,16.68155500413565,1310920.0,KLRHO,0.03
2025-07-28,63.75,65.66250000000001,hedef,0.030000000000000027,0.023000000000000027,8.129795396419437,1621162.5,KLRHO,0.03
2025-07-29,67.95,69.9885,hedef,0.030000000000000027,0.023000000000000027,4.792917601099616,1802068.0,KLRHO,0.03
2025-08-20,69.2,67.816,stop,-0.020000000000000018,-0.027000000000000017,3.900225255068239,407380.4,KLRHO,0.03
2025-08-22,64.5,66.435,hedef,0.030000000000000027,0.023000000000000027,4.9603880355699275,788476.0,KLRHO,0.03
2025-08-26,67.2,65.856,stop,-0.02000000000000013,-0.027000000000000128,6.900241794546455,1936905.6,KLRHO,0.03
2025-09-01,65.85,64.53299999999999,stop,-0.02000000000000013,-0.027000000000000128,17.930464296592838,8412204.9,KLRHO,0.03
2025-09-12,67.2,65.856,stop,-0.02000000000000013,-0.027000000000000128,5737.469060279516,6535284788.0,KLRHO,0.03
2025-10-23,163.4,160.132,stop,-0.020000000000000018,-0.027000000000000017,3.6039181623508973,6813915.6,KLRHO,0.03
2025-10-28,145.5,145.0,kapanis,-0.0034364261168384758,-0.010436426116838475,13.522157647573176,26316366.299999997,KLRHO,0.03
2025-11-21,151.2,148.176,stop,-0.020000000000000018,-0.027000000000000017,4.898770611767001,3038557.9000000004,KLRHO,0.03
2025-12-01,154.9,151.802,stop,-0.02000000000000013,-0.027000000000000128,3.4232777431421444,2723505.0,KLRHO,0.03
