hisse,grup,olay,hedef,stop,gun_sonu,compound_%,durum,ort_getiri_%,ort_max_%,ort_min_%,en_yuksek_max_%,en_derin_min_%,tarihler
ALVES,KIRILIM,1,0,0,1,2.62,KAR,2.62,2.65,-0.48,2.65,-0.48,01-28
MEGMT,KIRILIM,2,1,0,1,2.22,KAR,1.12,4.22,-0.78,5.52,-1.63,"04-27, 05-06"
ERBOS,KIRILIM,2,1,0,1,1.93,KAR,0.98,2.93,-2.08,3.72,-2.39,"01-29, 05-12"
GOZDE,KIRILIM,1,0,0,1,1.83,KAR,1.83,1.86,-1.46,1.86,-1.46,01-23
PRDGS,KIRILIM,1,0,0,1,1.68,KAR,1.68,1.71,-2.2,1.71,-2.2,04-20
AYGAZ,KIRILIM,1,0,0,1,1.38,KAR,1.38,2.13,0.04,2.13,0.04,02-19
KRVGD,KIRILIM,3,1,1,1,1.27,KAR,0.45,3.61,-3.37,5.0,-4.18,"01-02, 05-12, 06-02"
ISFIN,KIRILIM,1,0,0,1,1.21,KAR,1.21,2.95,-3.81,2.95,-3.81,01-29
OZKGY,KIRILIM,1,0,0,1,0.84,KAR,0.84,1.68,-1.12,1.68,-1.12,02-16
ALBRK,KIRILIM,1,0,0,1,0.26,KAR,0.26,2.83,-1.37,2.83,-1.37,02-16
A1CAP,KIRILIM,2,1,1,0,-0.15,ZARAR,-0.03,1.5,-7.33,3.04,-9.69,"02-18, 02-24"
ASUZU,KIRILIM,2,1,1,0,-0.15,ZARAR,-0.03,2.35,-3.9,5.9,-7.81,"02-16, 02-25"
EKSUN,KIRILIM,2,1,1,0,-0.15,ZARAR,-0.03,4.8,-3.1,6.76,-4.84,"05-20, 05-26"
GARFA,KIRILIM,2,1,1,0,-0.15,ZARAR,-0.03,6.16,-1.86,7.16,-6.0,"05-15, 05-18"
GEREL,KIRILIM,2,1,1,0,-0.15,ZARAR,-0.03,5.8,-4.57,8.84,-8.97,"02-13, 04-14"
KARTN,KIRILIM,2,1,1,0,-0.15,ZARAR,-0.03,3.89,-4.25,4.91,-6.73,"04-21, 06-03"
MOBTL,KIRILIM,2,1,1,0,-0.15,ZARAR,-0.03,4.86,-2.9,6.67,-5.33,"03-31, 05-26"
OZATD,KIRILIM,2,1,1,0,-0.15,ZARAR,-0.03,4.25,-3.26,5.29,-3.65,"04-13, 04-15"
OZSUB,KIRILIM,1,0,0,1,-0.7,ZARAR,-0.7,1.99,-4.7,1.99,-4.7,05-11
KLKIM,KIRILIM,1,0,0,1,-1.54,ZARAR,-1.54,1.11,-1.55,1.11,-1.55,01-26
EKGYO,KIRILIM,1,0,0,1,-1.77,ZARAR,-1.77,2.34,-2.57,2.34,-2.57,02-16
AKFGY,KIRILIM,1,0,0,1,-2.61,ZARAR,-2.61,2.57,-2.89,2.57,-2.89,02-18
BVSAN,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,4.81,-7.54,4.81,-7.54,05-11
CRFSA,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,0.4,-13.6,0.4,-13.6,04-20
GEDZA,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,0.75,-5.22,0.75,-5.22,05-07
GRNYO,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,0.98,-6.6,0.98,-6.6,01-19
ISGYO,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,2.41,-10.15,2.41,-10.15,06-29
IZFAS,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,5.81,-7.65,5.81,-7.65,04-20
MANAS,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,1.89,-4.93,1.89,-4.93,04-30
MTRKS,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,-5.92,-10.34,-5.92,-10.34,06-15
OYYAT,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,2.72,-3.5,2.72,-3.5,02-18
POLHO,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,1.12,-14.87,1.12,-14.87,04-07
RTALB,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,1.26,-11.3,1.26,-11.3,05-12
SDTTR,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,2.84,-10.55,2.84,-10.55,03-03
VAKKO,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,2.01,-3.95,2.01,-3.95,02-24
VBTYZ,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,-3.38,-9.62,-3.38,-9.62,06-15
YATAS,KIRILIM,1,0,1,0,-3.03,ZARAR,-3.03,-0.04,-7.27,-0.04,-7.27,03-12
AKCNS,KIRILIM,3,1,2,0,-3.18,ZARAR,-1.03,2.01,-3.22,5.49,-4.98,"04-20, 05-26, 07-01"
ARASE,KIRILIM,3,1,2,0,-3.18,ZARAR,-1.03,2.27,-4.83,4.09,-8.1,"03-12, 04-29, 05-12"
BAKAB,KIRILIM,3,1,2,0,-3.18,ZARAR,-1.03,3.01,-7.99,6.16,-13.1,"01-27, 05-13, 05-21"
RGYAS,KIRILIM,3,1,2,0,-3.18,ZARAR,-1.03,4.61,-3.06,13.47,-4.62,"04-08, 05-07, 05-13"
GATEG,KIRILIM,2,0,2,0,-5.97,ZARAR,-3.03,-1.04,-6.24,-0.54,-7.33,"01-21, 01-30"
