tarih,kat,en_yuksek_%,barem,stop,hisse
2025-11-06,8.203098495985525,8.58,+5%+,False,INTEK
2026-05-22,32.34405458089669,3.73,+3%,False,INVES
2023-04-03,55.386745111611006,0.0,stop/<1%,False,ISBIR
2023-05-10,9.259749638902264,5.5,+5%+,False,ISBIR
2024-09-18,15.301255230125523,0.59,stop/<1%,False,ISBIR
2025-07-18,31.680612000956252,3.09,+3%,False,ISBIR
2025-08-11,10.868838405486498,0.0,stop/<1%,False,ISBIR
2025-11-21,10.419210419210419,2.11,+2%,False,ISBIR
2026-06-02,19.277745878106803,1.06,+1%,False,KARTN
2026-06-03,8.99149051582391,4.91,+4%,False,KARTN
2023-02-28,10.127136306794075,0.1,stop/<1%,False,KENT
2024-12-13,8.414021466090178,0.0,stop/<1%,True,KENT
2025-08-18,8.243095930244582,0.0,stop/<1%,False,KENT
2025-11-18,11.051236749032057,0.0,stop/<1%,True,KENT
2026-01-29,15.691489361698814,6.33,+5%+,False,KENT
2026-01-30,10.925426774510283,0.0,stop/<1%,True,KENT
2023-06-12,11.86880127341741,0.0,stop/<1%,False,KERVN
2023-07-13,14.991330835707437,0.0,stop/<1%,False,KERVN
2023-11-15,9.683593213655776,0.0,stop/<1%,True,KERVN
2024-06-13,9.547212088133062,9.62,+5%+,False,KERVN
2025-03-12,8.529729323227494,0.0,stop/<1%,False,KERVN
2025-03-13,8.009232229248115,0.0,stop/<1%,False,KERVN
2025-08-05,10.139742147616165,3.49,+3%,False,KERVN
2026-05-11,24.514948183511876,0.0,stop/<1%,False,KERVN
2023-08-18,12.17454970043833,4.86,+4%,False,KLNMA
2024-08-28,15.887630567941008,0.0,stop/<1%,False,KLNMA
2026-06-02,33.088078666435486,0.32,stop/<1%,True,KLSER
2026-06-03,29.917309222201826,6.98,+5%+,False,KNFRT
2026-05-22,46.211340585306296,15.71,+5%+,False,KOPOL
2026-05-26,8.424116475975037,7.8,+5%+,False,KRDMB
2026-05-25,12.086305928970534,4.18,+4%,False,KRVGD
2023-03-23,12.27106227106227,0.0,stop/<1%,True,KSTUR
2023-04-07,14.078498293515358,0.11,stop/<1%,True,KSTUR
2023-07-10,10.267326732673267,0.18,stop/<1%,False,KSTUR
2023-07-11,18.01355206847361,0.0,stop/<1%,False,KSTUR
2023-08-04,8.739018087855298,0.0,stop/<1%,True,KSTUR
2023-08-18,9.471101417666302,0.0,stop/<1%,True,KSTUR
2023-09-04,16.252495009980038,0.0,stop/<1%,False,KSTUR
2024-07-10,10.234375,4.37,+4%,False,KSTUR
2024-11-19,8.642322097378278,0.0,stop/<1%,False,KSTUR
2026-05-26,8.852539280880363,1.53,+1%,True,LINK
2026-06-04,71.62132752992383,0.08,stop/<1%,True,LUKSK
2026-05-12,19.28571428571429,0.91,stop/<1%,False,LYDYE
2026-05-20,9.326923076923077,0.0,stop/<1%,False,LYDYE
2026-06-04,83.71144409393621,0.77,stop/<1%,True,MAKIM
2026-06-03,12.09770471753434,5.24,+5%+,False,MARMR
2026-06-02,9.370875776795438,0.0,stop/<1%,True,MARTI
2024-08-27,37.66978276183767,11.04,+5%+,False,MEGAP
2024-11-12,9.39045656952364,4.17,+4%,False,MEGAP
2025-02-20,8.54541320706044,15.04,+5%+,False,MEGAP
2025-03-03,11.147761730476205,0.0,stop/<1%,False,MEGAP
2025-03-04,10.429802488482775,1.01,+1%,False,MEGAP
2025-06-16,12.996356893827612,22.03,+5%+,False,MEGAP
2026-06-02,8.252111099806696,4.24,+4%,False,MEPET
2026-06-02,9.289201590318065,2.56,+2%,True,MHRGY
2023-03-16,8.616740872662511,19.62,+5%+,False,MMCAS
2023-11-15,13.540541891621675,15.58,+5%+,False,MMCAS
2024-01-05,13.711853517507228,0.0,stop/<1%,True,MMCAS
2024-03-05,20.65668354987888,0.0,stop/<1%,False,MMCAS
2024-04-29,8.681135513438152,0.0,stop/<1%,False,MMCAS
2024-11-18,17.63254113345521,7.86,+5%+,False,MMCAS
2024-12-24,24.532568708071846,1.01,+1%,False,MMCAS
2025-07-07,8.963330352061142,0.0,stop/<1%,False,MMCAS
2025-07-08,8.02855950393513,0.0,stop/<1%,False,MMCAS
2025-08-01,25.555826294130387,7.69,+5%+,False,MMCAS
2025-08-11,8.777252474405632,2.35,+2%,False,MMCAS
2025-11-14,44.80331541218638,14.56,+5%+,False,MMCAS
2025-12-02,24.843476229412452,0.0,stop/<1%,True,MMCAS
2026-06-03,13.663560018938922,0.15,stop/<1%,True,MSGYO
2026-05-04,14.701850582590817,0.0,stop/<1%,True,MTRYO
2026-06-01,21.787661766553587,1.92,+1%,True,NUGYO
2023-05-23,9.425235743152223,6.47,+5%+,False,ORMA
2023-10-26,8.511631683650684,4.33,+4%,False,ORMA
2024-09-12,9.220493987182257,10.51,+5%+,False,ORMA
2025-11-25,8.605442176870747,4.52,+4%,False,ORMA
2026-05-21,8.792653691734857,0.0,stop/<1%,True,OZGYO
2026-06-02,12.495092024539877,0.75,stop/<1%,True,PAMEL
2026-06-01,8.99332586865098,4.51,+4%,False,PATEK
2026-05-25,13.522349197164763,4.33,+4%,True,PKART
2026-05-06,8.160463004993192,0.0,stop/<1%,False,PRZMA
2026-05-22,12.213785046728972,2.2,+2%,True,PSDTC
2023-04-18,19.148191365237462,0.0,stop/<1%,True,QNBFK
2023-07-10,13.373266078180785,10.66,+5%+,False,QNBFK
2023-07-31,15.645245559039326,0.0,stop/<1%,False,QNBFK
2024-02-29,23.58530661809239,0.0,stop/<1%,False,QNBFK
2024-08-26,8.468921095007152,0.0,stop/<1%,False,QNBFK
2024-12-06,9.50393511054259,0.15,stop/<1%,False,QNBFK
2025-07-21,21.901600272386816,0.0,stop/<1%,False,QNBFK
2026-01-12,10.25664065924372,0.0,stop/<1%,True,QNBFK
2026-02-17,8.40453618144505,6.44,+5%+,False,QNBFK
2026-04-07,12.096184311135428,0.0,stop/<1%,True,QNBFK
2023-06-19,10.199254024351088,0.0,stop/<1%,False,QNBTR
2025-03-18,8.746392149328042,0.0,stop/<1%,False,QNBTR
2025-07-21,12.150723524132847,0.0,stop/<1%,False,QNBTR
2026-01-09,8.417582417586017,0.72,stop/<1%,False,QNBTR
2026-04-06,14.850667231518745,0.0,stop/<1%,False,QNBTR
2026-04-07,19.51216725694048,0.0,stop/<1%,True,QNBTR
2026-05-20,14.854488869883353,0.0,stop/<1%,True,RODRG
2026-05-22,9.152323580034423,14.45,+5%+,False,SANEL
2026-05-22,13.7203125,6.06,+5%+,False,SANKO
2026-06-04,10.983066129441267,5.93,+5%+,False,SAYAS
2026-05-22,11.005101381893324,12.81,+5%+,False,SEKFK
2023-05-18,14.260731319555715,6.84,+5%+,False,SNPAM
2023-06-08,14.082326283981102,0.0,stop/<1%,False,SNPAM
2023-07-13,30.551024788062445,0.0,stop/<1%,False,SNPAM
2024-05-06,8.695291082083596,0.0,stop/<1%,False,SNPAM
2025-02-03,9.643126603289707,0.0,stop/<1%,False,SNPAM
2025-08-19,13.501608291636884,15.29,+5%+,False,SNPAM
2023-06-08,21.010967379077616,0.0,stop/<1%,False,SODSN
2023-11-23,11.41265427396008,0.0,stop/<1%,True,SODSN
2024-02-20,22.789480322906158,0.0,stop/<1%,False,SODSN
2024-09-27,10.383107088989442,0.0,stop/<1%,True,SODSN
2025-04-30,15.307119929967902,0.0,stop/<1%,False,SODSN
2025-06-23,15.962962962962964,7.68,+5%+,False,SODSN
2025-07-16,10.489123091474125,0.0,stop/<1%,False,SODSN
2026-01-16,11.047723071752646,0.0,stop/<1%,False,SODSN
2023-03-17,39.62749213011543,0.0,stop/<1%,False,SUMAS
2023-10-23,14.611021069692057,0.0,stop/<1%,False,SUMAS
2024-09-12,9.944408109875736,11.08,+5%+,False,SUMAS
2025-02-25,24.984962406015036,0.0,stop/<1%,True,SUMAS
2025-06-05,12.53763440860215,0.08,stop/<1%,False,SUMAS
2025-08-29,10.569196428571429,0.0,stop/<1%,False,SUMAS
2025-12-03,11.30676084762866,3.47,+3%,False,SUMAS
2026-04-30,9.799492385786802,0.0,stop/<1%,True,SUMAS
2026-05-25,12.824897400820795,6.08,+5%+,False,TARKM
2026-06-01,8.494164753775639,0.0,stop/<1%,True,TERA
2026-05-22,12.374583578287282,4.79,+4%,False,TRCAS
2026-06-04,16.479465081128694,7.61,+5%+,True,TUREX
2026-05-20,32.7751756440281,0.0,stop/<1%,True,UFUK
2026-06-05,8.516949152542372,1.72,+1%,False,UFUK
2026-06-05,18.91201276961265,5.0,+5%+,False,ULUFA
2026-06-02,10.355438089315427,6.26,+5%+,False,VBTYZ
2026-05-21,55.28392857142857,0.09,stop/<1%,True,VERTU
2026-05-18,11.760992005813954,0.95,stop/<1%,False,VKFYO
2026-06-03,11.372169329245335,4.25,+4%,True,VSNMD
2022-08-02,14.565217391301955,0.0,stop/<1%,True,YBTAS
2022-08-18,14.444444444437867,7.81,+5%+,False,YBTAS
2022-09-05,23.461538461543483,4.76,+4%,False,YBTAS
2022-11-07,10.00000000000999,2.57,+2%,False,YBTAS
2023-03-08,8.12499999999818,4.17,+4%,False,YBTAS
2023-11-07,9.545454545449179,0.0,stop/<1%,False,YBTAS
2024-03-28,9.090909090909918,0.16,stop/<1%,False,YBTAS
2025-03-25,12.000000000000082,0.0,stop/<1%,True,YBTAS
2025-05-29,9.615384615382547,0.0,stop/<1%,True,YBTAS
2025-09-08,20.681797500001903,0.0,stop/<1%,True,YBTAS
2026-03-11,10.18198236806661,6.59,+5%+,False,YBTAS
2026-03-12,11.095301728065113,0.87,stop/<1%,False,YBTAS
2026-06-05,9.720301397300776,7.3,+5%+,False,YBTAS
2023-12-05,9.179915566334321,0.0,stop/<1%,False,YONGA
2024-04-26,16.866729125190304,0.48,stop/<1%,False,YONGA
2024-11-15,9.035248041775457,0.0,stop/<1%,False,YONGA
2025-07-23,8.528111181301327,0.0,stop/<1%,True,YONGA
2025-08-25,15.910876641598383,0.0,stop/<1%,False,YONGA
2026-06-05,14.789418858136262,9.03,+5%+,False,ZERGY
