ilk_bar_tepe,ilk_bar_dip,ilk_bar_kapanis,ilk_saat_hareket,gun_sonu,sinyal,hisse
0.0,0.0,0.0,0.0,0.020105821529766033,False,ISKPL
0.0,0.0,0.0,0.0,0.0036307056462587806,False,ISKPL
0.0,0.0,0.0,0.0,-0.013867489397138222,False,ISKPL
0.0,0.0,0.0,0.0,0.013027619460035389,False,ISKPL
0.0,0.0,0.0,0.0,0.003602672896167114,False,ISKPL
0.0,0.0,0.0,0.0,-0.021025638932063107,False,ISKPL
0.0,0.0,0.0,-0.002096436205774488,-0.034591193702940504,False,ISKPL
0.0,0.0,0.0,0.0,-0.004885993821710843,False,ISKPL
0.0,0.0,0.0,0.0,-0.008695652773202611,False,ISKPL
0.0,0.0,0.0,0.0021857925011909973,-0.03278688751786607,False,ISKPL
0.0,0.0,0.0,0.0,0.03389830751335232,False,ISKPL
0.0,0.0,0.0,0.0,-0.00820568984713399,False,ISKPL
0.0,0.0,0.0,0.0,0.0038824184649628446,False,ISKPL
0.0,0.0,0.0,0.0,0.0044150113465046825,False,ISKPL
0.0,0.0,0.0,0.0,0.02465753209963384,False,ISKPL
0.0,0.0,0.0,0.0,-0.02620320666440601,False,ISKPL
0.0,0.0,0.0,-0.0005491488575712911,0.0005491488575715131,False,ISKPL
0.0,0.0,0.0,-0.0010976949172328831,0.012074644089561826,False,ISKPL
0.0,0.0,0.0,0.0010845987730681017,-0.005965293251874781,False,ISKPL
0.0,0.0,0.0,0.0,0.018498365234379532,False,ISKPL
0.0,0.0,0.0,0.0005333333714077071,0.01866666799926442,False,ISKPL
0.0,0.0,0.0,0.0,0.00732984344561971,False,ISKPL
0.0,0.0,0.0,0.0,-0.009875260562291932,True,ISKPL
0.0,0.0,0.0,-0.0005194805556025806,0.008311688889640623,False,ISKPL
0.0,0.0,0.0,-0.0005102041183100425,-0.0260204064394306,True,ISKPL
0.0,0.0,0.0,0.0,0.014667366141066118,False,ISKPL
0.0,0.0,0.0,0.0005141388528637769,-0.012853471321592314,False,ISKPL
0.0,0.0,0.0,0.0026246721004328233,-0.006299213041038865,False,ISKPL
0.0,0.0,0.0,-0.004190676040304542,-0.006809848565495047,False,ISKPL
0.0,0.0,0.0,0.000530504016451161,-0.01591512049353483,False,ISKPL
0.0,0.0,0.0,0.001075847307158151,0.008606778457265873,False,ISKPL
0.0,0.0,0.0,0.009174312589327771,0.030760930446569912,False,ISKPL
0.0,0.0,0.0,0.0,0.00732984344561971,False,ISKPL
0.0,0.0,0.0,0.0005197505559102478,-0.005197505559100923,False,ISKPL
0.0,0.0,0.0,0.002096436205774488,0.037735848011602124,False,ISKPL
0.0,0.0,0.0,0.0,-0.021255058679072847,False,ISKPL
0.0,0.0,0.0,0.0,-0.032871085978401715,False,ISKPL
0.0,0.0,0.0,0.004777070403096273,0.02707006561754488,False,ISKPL
0.0,0.0,0.0,-0.004145078007688041,0.009326425517298231,False,ISKPL
0.0,0.0,0.0,-0.0015400411735840835,0.002053384614924436,False,ISKPL
0.0,0.0,0.0,-0.0025640991365634136,0.0194871808952497,False,ISKPL
0.0,0.0,0.0,0.0,-0.04426559315494183,False,ISKPL
0.0,0.0,0.0,0.0,-0.00422163618210325,False,ISKPL
0.0,0.0,0.0,0.003723404520422857,-0.013297873287224649,False,ISKPL
0.0,0.0,0.0,0.0,0.09677419672510501,False,ISKPL
0.0,0.0,0.0,0.0,-0.018627452266961497,True,ISKPL
0.0,0.0,0.0,0.000999001069310168,0.00399600427724045,False,ISKPL
0.0,0.0,0.0,0.0,0.007944389830864873,False,ISKPL
0.0,0.0,0.0,0.0,0.013793100935202363,False,ISKPL
0.0,0.0,0.0,0.0,-0.035922329257055075,False,ISKPL
0.0,0.0,0.0,0.0,0.06747230738259935,False,ISKPL
0.0,0.0,0.0,0.0,0.004739336825194229,False,ISKPL
0.0,0.0,0.0,0.0009380863690360286,-0.0065666045832522,False,ISKPL
0.0,0.0,0.0,0.0,0.02457466757594884,False,ISKPL
0.0,0.0,0.0,-0.0009225092910420951,-0.0036900371641684915,False,ISKPL
0.0,0.0,0.0,-0.000909090973136184,-0.05363636421277129,False,ISKPL
0.0,0.0,0.0,0.0,0.08131655614006061,False,ISKPL
0.0,0.0,0.0,0.0,-0.012500000864897443,False,ISKPL
0.0,0.0,0.0,0.0,0.00454545486568092,False,ISKPL
0.0,0.0,0.0,0.0,-0.008115419863753637,False,ISKPL
0.0,0.0,0.0,0.0009049774390326171,0.03438913949546474,False,ISKPL
0.0,0.0,0.0,0.0,-0.07961504759861215,False,ISKPL
0.0,0.0,0.0,0.006628788343131298,0.05587121269927242,False,ISKPL
0.0,0.0,0.0,-0.0008984726591436676,-0.020664871160305576,False,ISKPL
0.0,0.0,0.0,0.008256881320977572,0.026605506478705188,False,ISKPL
0.0,0.0,0.0,-0.003574620444159682,0.0008936551110398927,False,ISKPL
0.0,0.0,0.0,0.0,-0.0044642860231777215,False,ISKPL
0.0,0.0,0.0,-0.004448398883209803,0.0008896766427528568,False,ISKPL
0.0,0.0,0.0,0.0,0.003555555811610267,False,ISKPL
0.0,0.0,0.0,-0.0008695652786520069,-0.01826087085169248,True,ISKPL
0.0,0.0,0.0,0.0,0.03612334749262103,False,ISKPL
0.0,0.0,0.0,0.0008496177330725718,0.03738318025519627,False,ISKPL
0.0,0.0,0.0,0.0008190008757069656,-0.009009009632776177,False,ISKPL
0.0,0.0,0.0,0.0,0.015793849821453376,False,ISKPL
0.0,0.0,0.0,0.0008183306621780684,0.002454989103971572,False,ISKPL
0.0,0.0,0.0,0.0016273394168488942,0.0016273394168488942,False,ISKPL
0.0,0.0,0.0,0.0016155090002143435,-0.022617123157693264,True,ISKPL
0.0,0.0,0.0,0.0,-0.005785124371134764,False,ISKPL
0.0,0.0,0.0,-0.001659751153788358,-0.005809129038259475,False,ISKPL
0.0,0.0,0.0,-0.012842466644231165,-0.060787672433528894,False,ISKPL
0.0,0.0,0.0,-0.01340482666559828,-0.025022343109116774,True,ISKPL
0.0,0.0,0.0,0.0,-0.02378773862848582,False,ISKPL
0.0,0.0,0.0,-0.0009372071877482568,-0.025304594069202713,False,ISKPL
0.0,0.0,0.0,0.0,0.08084697060437573,False,ISKPL
0.0,0.0,0.0,0.0008904720115823217,-0.04719501347718369,True,ISKPL
0.0,0.0,0.0,0.0,-0.026802216778688992,False,ISKPL
0.0,0.0,0.0,-0.002862595621901498,0.05248091637370589,False,ISKPL
0.0,0.0,0.0,0.0018132367547745165,0.010879420528647765,False,ISKPL
0.0,0.0,0.0,0.0,0.02780268935611918,False,ISKPL
0.0,0.0,0.0,0.0,-0.033533963193757454,False,ISKPL
0.0,0.0,0.0,0.0,0.023214284175442135,False,ISKPL
0.0,0.0,0.0,0.0034904016429169182,0.007853403696563177,False,ISKPL
0.0,0.0,0.0,-0.0025996535620597117,0.019930674256705583,False,ISKPL
0.0,0.0,0.0,-0.014143095836650743,-0.029118135556696956,False,ISKPL
0.0,0.0,0.0,0.0,-0.008620690257262864,False,ISKPL
