tarih,hisse,kat,kat_kova,acilis,gun_yuksek,gun_dusuk,gun_yuksek_%,gun_dusuk_%,en_yuksek_%,barem,stop,bar_sayisi
2026-05-20,GUNDG,11.19,8x+,998.0,998.0,998.0,0.0,0.0,0.0,stop/<1%,False,231
2026-05-21,GUNDG,5.14,5-8x,1097.0,1097.0,1047.0,0.0,-4.56,0.0,stop/<1%,True,219
2026-05-25,GUNDG,19.71,8x+,1303.0,1303.0,1067.0,0.0,-18.11,0.0,stop/<1%,True,390
2026-06-01,HRKET,6.25,5-8x,96.5,96.5,96.5,0.0,0.0,0.0,stop/<1%,False,400
2026-06-02,HRKET,7.88,5-8x,100.0,106.1,92.0,6.1,-8.0,0.0,stop/<1%,True,459
2026-06-04,HRKET,6.55,5-8x,116.7,125.7,110.9,7.71,-4.97,5.31,+5%+,True,485
2026-05-20,ICBCT,24.59,8x+,21.0,21.14,18.84,0.67,-10.29,0.67,stop/<1%,True,471
2026-05-11,IDGYO,8.88,8x+,3.63,3.96,3.45,9.09,-4.96,0.0,stop/<1%,True,350
2026-06-01,IDGYO,8.53,8x+,4.23,4.45,4.2,5.2,-0.71,5.2,+5%+,False,392
2026-06-03,IHAAS,4.23,3-5x,95.95,100.0,92.05,4.22,-4.06,0.26,stop/<1%,True,469
2026-05-08,IHGZT,6.42,5-8x,1.58,1.6,1.57,1.27,-0.63,1.27,+1%,False,363
2026-05-12,IHGZT,3.06,3-5x,1.58,1.59,1.53,0.63,-3.16,0.63,stop/<1%,True,356
2026-05-15,IHLAS,4.53,3-5x,2.13,2.13,2.07,0.0,-2.82,0.0,stop/<1%,False,432
2026-05-06,IHYAY,8.96,8x+,1.83,1.87,1.83,2.19,0.0,2.19,+2%,False,270
2026-05-21,IMASM,3.13,3-5x,3.5,3.57,3.21,2.0,-8.29,2.0,+2%,True,443
2026-05-18,INTEM,3.78,3-5x,293.75,296.75,282.0,1.02,-4.0,1.02,+1%,True,450
2026-05-21,INTEM,6.85,5-8x,300.0,301.75,264.0,0.58,-12.0,0.58,stop/<1%,True,397
2026-05-15,INVEO,24.26,8x+,9.06,9.33,8.65,2.98,-4.53,2.98,+2%,True,391
2026-05-20,INVEO,3.76,3-5x,9.45,9.45,8.37,0.0,-11.43,0.0,stop/<1%,True,463
2026-05-22,INVES,13.08,8x+,590.0,612.0,589.0,3.73,-0.17,3.73,+3%,False,264
2026-05-15,ISGYO,5.67,5-8x,20.76,21.2,20.0,2.12,-3.66,0.1,stop/<1%,True,397
2026-05-18,ISGYO,10.27,8x+,21.08,21.52,20.5,2.09,-2.75,2.09,+2%,False,416
2026-05-20,ISKPL,3.94,3-5x,21.6,21.68,19.5,0.37,-9.72,0.37,stop/<1%,True,459
2026-06-05,ISKPL,5.84,5-8x,15.21,16.89,15.21,11.05,0.0,11.05,+5%+,False,482
2026-05-18,ISSEN,118.98,8x+,10.04,10.52,9.97,4.78,-0.7,4.78,+4%,False,326
2026-05-20,ISSEN,34.3,8x+,11.1,11.44,9.53,3.06,-14.14,3.06,+3%,True,454
2026-05-22,IZFAS,7.68,5-8x,61.2,64.35,59.6,5.15,-2.61,5.15,+5%+,False,451
2026-05-18,JANTS,6.55,5-8x,18.98,19.41,17.8,2.27,-6.22,2.27,+2%,True,464
2026-05-25,KAREL,3.19,3-5x,13.0,13.91,12.97,7.0,-0.23,7.0,+5%+,False,481
2026-06-03,KARTN,7.74,5-8x,130.3,136.7,128.0,4.91,-1.77,4.91,+4%,False,482
2026-05-22,KAYSE,3.51,3-5x,4.2,4.59,4.2,9.29,0.0,9.29,+5%+,False,465
2026-05-20,KFEIN,86.55,8x+,10.6,11.15,9.55,5.19,-9.91,5.19,+5%+,True,418
2026-05-20,KIMMR,3.16,3-5x,18.2,18.92,17.93,3.96,-1.48,3.96,+3%,False,477
2026-06-02,KLSER,5.16,5-8x,31.48,31.58,30.02,0.32,-4.64,0.32,stop/<1%,True,479
2026-05-18,KNFRT,3.35,3-5x,12.5,12.52,12.07,0.16,-3.44,0.16,stop/<1%,True,395
2026-06-03,KNFRT,8.15,8x+,15.04,16.09,15.04,6.98,0.0,6.98,+5%+,False,265
2026-06-04,KNFRT,9.45,8x+,16.69,17.54,15.78,5.09,-5.45,4.25,+4%,True,474
2026-05-22,KOCMT,3.3,3-5x,2.36,2.59,2.36,9.75,0.0,9.75,+5%+,False,445
2026-05-22,KOPOL,44.12,8x+,5.03,5.82,5.03,15.71,0.0,15.71,+5%+,False,422
2026-05-22,KRGYO,4.02,3-5x,2.61,2.68,2.61,2.68,0.0,2.68,+2%,False,367
2026-05-25,KRONT,4.57,3-5x,17.5,19.07,17.5,8.97,0.0,8.97,+5%+,False,413
2026-05-11,KRTEK,6.07,5-8x,26.9,28.0,26.5,4.09,-1.49,4.09,+4%,False,320
2026-06-01,KRTEK,3.99,3-5x,24.34,25.6,24.08,5.18,-1.07,5.18,+5%+,False,271
2026-06-02,KRVGD,5.38,5-8x,3.4,3.57,3.26,5.0,-4.12,0.29,stop/<1%,True,465
2026-05-04,KUVVA,9.03,8x+,125.0,129.6,120.3,3.68,-3.76,0.0,stop/<1%,True,254
2026-05-07,KUVVA,4.06,3-5x,146.0,155.3,146.0,6.37,0.0,6.37,+5%+,False,259
2026-05-25,LIDFA,5.5,5-8x,2.94,3.16,2.91,7.48,-1.02,7.48,+5%+,False,443
2026-05-18,LILAK,3.56,3-5x,34.68,35.32,34.36,1.85,-0.92,1.85,+1%,False,475
2026-05-20,LKMNH,16.96,8x+,15.2,15.99,15.2,5.2,0.0,5.2,+5%+,False,471
2026-05-18,LUKSK,5.79,5-8x,112.5,112.8,104.5,0.27,-7.11,0.27,stop/<1%,True,329
2026-05-22,LUKSK,10.59,8x+,90.1,98.75,90.1,9.6,0.0,9.6,+5%+,False,337
