hisse
MHRGY
MMCAS
MNDRS
MNDTR
MOBTL
MOGAN
MOPAS
MRGYO
MRSHL
MSGYO
MTRKS
MTRYO
MZHLD
NATEN
NETAS
NETCD
NIBAS
NTGAZ
NTHOL
NUGYO
NUHCM
OBASE
ODINE
OFSYM
ONCSM
ONRYT
ORCAY
ORGE
ORMA
OSMEN
OSTIM
OTTO
OYAYO
OYLUM
OYYAT
OZATD
OZGYO
OZKGY
OZRDN
OZSUB
OZYSR
PAGYO
PAMEL
PAPIL
PARSN
PATEK
PCILT
PEKGY
PENGD
PENTA
PETUN
PINSU
PKART
PKENT
PLTUR
PNLSN
PNSUT
POLHO
POLTK
PRDGS
PRKAB
PRKME
PRZMA
PSDTC
QNBFK
QNBTR
QUAGR
RAYSG
RGYAS
RNPOL
RODRG
RTALB
RUBNS
RUZYE
RYSAS
SAFKR
SAMAT
SANEL
SANFM
SANKO
SAYAS
SDTTR
SEGMN
SEGYO
SEKFK
SEKUR
SELVA
SERNT
SEYKM
SILVR
SKTAS
SKYLP
SKYMD
SMART
SMRVA
SNGYO
SNICA
SNPAM
SODSN
SOKE
SONME
SRVGY
SUMAS
SUNTK
SURGY
SUWEN
SVGYO
TARKM
TATEN
TATGD
TBORG
TCKRC
TDGYO
TEHOL
TEKTU
TERA
TEZOL
TGSAS
TKNSA
TLMAN
TMPOL
TMSN
TNZTP
TRALT
TRCAS
TRENJ
TRGYO
TRHOL
TRILC
TRMET
TSGYO
TSPOR
TTRAK
TUCLK
TUKAS
TUREX
TURGG
UCAYM
UFUK
ULAS
ULUFA
ULUSE
ULUUN
UMPAS
UNLU
USAK
VAKFA
VAKFN
VAKKO
VANGD
VBTYZ
VERTU
VERUS
VESBE
VKFYO
VKGYO
VKING
VRGYO
VSNMD
YAPRK
YATAS
YAYLA
YBTAS
YEOTK
YESIL
YGGYO
YIGIT
YKSLN
YONGA
YUNSA
YYAPI
YYLGD
ZEDUR
ZERGY
ZGYO
ZRGYO
